cohort_month,cohort_index,customer_id,cohort_size,retention_rate
2023-06,29,99,536,0.1847
2023-06,30,103,536,0.1922
2023-06,31,93,536,0.1735
2023-07,1,304,304,1.0
2023-07,2,18,304,0.0592
2023-07,3,21,304,0.0691
2023-07,4,41,304,0.1349
2023-07,5,46,304,0.1513
2023-07,6,36,304,0.1184
2023-07,7,26,304,0.0855
2023-07,8,21,304,0.0691
2023-07,9,16,304,0.0526
2023-07,10,22,304,0.0724
2023-07,11,37,304,0.1217
2023-07,12,39,304,0.1283
2023-07,13,16,304,0.0526
2023-07,14,19,304,0.0625
2023-07,15,20,304,0.0658
2023-07,16,45,304,0.148
2023-07,17,47,304,0.1546
2023-07,18,45,304,0.148
2023-07,19,26,304,0.0855
2023-07,20,20,304,0.0658
2023-07,21,29,304,0.0954
2023-07,22,19,304,0.0625
2023-07,23,35,304,0.1151
2023-07,24,36,304,0.1184
2023-07,25,23,304,0.0757
2023-07,26,29,304,0.0954
2023-07,27,29,304,0.0954
2023-07,28,46,304,0.1513
2023-07,29,54,304,0.1776
2023-07,30,46,304,0.1513
2023-08,1,281,281,1.0
2023-08,2,23,281,0.0819
2023-08,3,40,281,0.1423
2023-08,4,47,281,0.1673
2023-08,5,32,281,0.1139
2023-08,6,27,281,0.0961
2023-08,7,27,281,0.0961
2023-08,8,25,281,0.089
2023-08,9,22,281,0.0783
2023-08,10,29,281,0.1032
2023-08,11,34,281,0.121
2023-08,12,22,281,0.0783
2023-08,13,19,281,0.0676
2023-08,14,18,281,0.0641
2023-08,15,46,281,0.1637
2023-08,16,41,281,0.1459
2023-08,17,30,281,0.1068
2023-08,18,21,281,0.0747
2023-08,19,20,281,0.0712
2023-08,20,26,281,0.0925
2023-08,21,30,281,0.1068
2023-08,22,44,281,0.1566
2023-08,23,42,281,0.1495
2023-08,24,20,281,0.0712
2023-08,25,20,281,0.0712
2023-08,26,32,281,0.1139
2023-08,27,51,281,0.1815
2023-08,28,35,281,0.1246
2023-08,29,42,281,0.1495
2023-09,1,254,254,1.0
2023-09,2,38,254,0.1496
2023-09,3,28,254,0.1102
2023-09,4,22,254,0.0866
2023-09,5,12,254,0.0472
2023-09,6,21,254,0.0827
2023-09,7,19,254,0.0748
2023-09,8,18,254,0.0709
2023-09,9,31,254,0.122
2023-09,10,37,254,0.1457
2023-09,11,16,254,0.063
2023-09,12,21,254,0.0827
2023-09,13,23,254,0.0906
2023-09,14,35,254,0.1378
2023-09,15,33,254,0.1299
2023-09,16,24,254,0.0945
2023-09,17,13,254,0.0512
2023-09,18,19,254,0.0748
2023-09,19,20,254,0.0787
2023-09,20,18,254,0.0709
2023-09,21,33,254,0.1299
2023-09,22,29,254,0.1142
2023-09,23,22,254,0.0866
2023-09,24,19,254,0.0748
2023-09,25,22,254,0.0866
2023-09,26,42,254,0.1654
2023-09,27,51,254,0.2008
2023-09,28,28,254,0.1102
2023-10,1,469,469,1.0
2023-10,2,58,469,0.1237
2023-10,3,47,469,0.1002
2023-10,4,33,469,0.0704
2023-10,5,19,469,0.0405
2023-10,6,31,469,0.0661
2023-10,7,26,469,0.0554
2023-10,8,53,469,0.113
2023-10,9,45,469,0.0959
2023-10,10,36,469,0.0768
2023-10,11,33,469,0.0704
2023-10,12,21,469,0.0448
2023-10,13,63,469,0.1343
2023-10,14,62,469,0.1322
2023-10,15,60,469,0.1279
2023-10,16,28,469,0.0597
2023-10,17,33,469,0.0704
2023-10,18,31,469,0.0661
2023-10,19,30,469,0.064
2023-10,20,62,469,0.1322
2023-10,21,49,469,0.1045
2023-10,22,23,469,0.049
2023-10,23,34,469,0.0725
2023-10,24,33,469,0.0704
2023-10,25,76,469,0.162
2023-10,26,64,469,0.1365
2023-10,27,66,469,0.1407
2023-11,1,418,418,1.0
2023-11,2,41,418,0.0981
2023-11,3,23,418,0.055
2023-11,4,23,418,0.055
2023-11,5,27,418,0.0646
2023-11,6,25,418,0.0598
2023-11,7,32,418,0.0766
2023-11,8,43,418,0.1029
2023-11,9,28,418,0.067
2023-11,10,24,418,0.0574
2023-11,11,20,418,0.0478
2023-11,12,52,418,0.1244
2023-11,13,53,418,0.1268
2023-11,14,46,418,0.11
2023-11,15,19,418,0.0455
2023-11,16,23,418,0.055
2023-11,17,27,418,0.0646
2023-11,18,17,418,0.0407
2023-11,19,40,418,0.0957
2023-11,20,40,418,0.0957
2023-11,21,23,418,0.055
2023-11,22,29,418,0.0694
2023-11,23,27,418,0.0646
2023-11,24,61,418,0.1459
2023-11,25,53,418,0.1268
2023-11,26,59,418,0.1411
2023-12,1,303,303,1.0
2023-12,2,20,303,0.066
2023-12,3,15,303,0.0495
2023-12,4,20,303,0.066
2023-12,5,14,303,0.0462
2023-12,6,23,303,0.0759
2023-12,7,28,303,0.0924
2023-12,8,17,303,0.0561
2023-12,9,11,303,0.0363
2023-12,10,13,303,0.0429
2023-12,11,45,303,0.1485
2023-12,12,26,303,0.0858
2023-12,13,18,303,0.0594
2023-12,14,17,303,0.0561
2023-12,15,11,303,0.0363
2023-12,16,14,303,0.0462
2023-12,17,20,303,0.066
2023-12,18,27,303,0.0891
2023-12,19,21,303,0.0693
2023-12,20,10,303,0.033
2023-12,21,10,303,0.033
2023-12,22,18,303,0.0594
2023-12,23,34,303,0.1122
2023-12,24,42,303,0.1386
2023-12,25,31,303,0.1023
2024-01,1,195,195,1.0
2024-01,2,5,195,0.0256
2024-01,3,12,195,0.0615
2024-01,4,7,195,0.0359
2024-01,5,14,195,0.0718
2024-01,6,10,195,0.0513
2024-01,7,7,195,0.0359
2024-01,8,8,195,0.041
2024-01,9,7,195,0.0359
2024-01,10,18,195,0.0923
2024-01,11,29,195,0.1487
2024-01,12,12,195,0.0615
2024-01,13,12,195,0.0615
2024-01,14,5,195,0.0256
2024-01,15,8,195,0.041
2024-01,16,9,195,0.0462
2024-01,17,15,195,0.0769
2024-01,18,19,195,0.0974
2024-01,19,11,195,0.0564
2024-01,20,11,195,0.0564
2024-01,21,13,195,0.0667
2024-01,22,22,195,0.1128
2024-01,23,24,195,0.1231
2024-01,24,25,195,0.1282
2024-02,1,183,183,1.0
2024-02,2,8,183,0.0437
2024-02,3,7,183,0.0383
2024-02,4,12,183,0.0656
2024-02,5,14,183,0.0765
2024-02,6,9,183,0.0492
2024-02,7,6,183,0.0328
2024-02,8,12,183,0.0656
2024-02,9,18,183,0.0984
2024-02,10,20,183,0.1093
2024-02,11,14,183,0.0765
2024-02,12,10,183,0.0546
2024-02,13,15,183,0.082
2024-02,14,8,183,0.0437
2024-02,15,10,183,0.0546
2024-02,16,17,183,0.0929
2024-02,17,14,183,0.0765
2024-02,18,5,183,0.0273
2024-02,19,13,183,0.071
2024-02,20,7,183,0.0383
2024-02,21,23,183,0.1257
2024-02,22,23,183,0.1257
2024-02,23,14,183,0.0765
2024-03,1,139,139,1.0
2024-03,2,4,139,0.0288
2024-03,3,13,139,0.0935
2024-03,4,12,139,0.0863
2024-03,5,7,139,0.0504
2024-03,6,7,139,0.0504
2024-03,7,9,139,0.0647
2024-03,8,21,139,0.1511
2024-03,9,14,139,0.1007
2024-03,10,12,139,0.0863
2024-03,11,4,139,0.0288
2024-03,12,7,139,0.0504
2024-03,13,2,139,0.0144
2024-03,14,6,139,0.0432
2024-03,15,6,139,0.0432
2024-03,16,8,139,0.0576
2024-03,17,6,139,0.0432
2024-03,18,6,139,0.0432
2024-03,19,6,139,0.0432
2024-03,20,13,139,0.0935
2024-03,21,11,139,0.0791
2024-03,22,14,139,0.1007
2024-04,1,155,155,1.0
2024-04,2,10,155,0.0645
2024-04,3,9,155,0.0581
2024-04,4,9,155,0.0581
2024-04,5,5,155,0.0323
2024-04,6,5,155,0.0323
2024-04,7,23,155,0.1484
2024-04,8,20,155,0.129
2024-04,9,14,155,0.0903
2024-04,10,7,155,0.0452
2024-04,11,6,155,0.0387
2024-04,12,8,155,0.0516
2024-04,13,10,155,0.0645
2024-04,14,14,155,0.0903
2024-04,15,17,155,0.1097
2024-04,16,8,155,0.0516
2024-04,17,8,155,0.0516
2024-04,18,12,155,0.0774
2024-04,19,23,155,0.1484
2024-04,20,20,155,0.129
2024-04,21,15,155,0.0968
2024-05,1,288,288,1.0
2024-05,2,18,288,0.0625
2024-05,3,12,288,0.0417
2024-05,4,15,288,0.0521
2024-05,5,16,288,0.0556
2024-05,6,24,288,0.0833
2024-05,7,27,288,0.0938
2024-05,8,20,288,0.0694
2024-05,9,11,288,0.0382
2024-05,10,14,288,0.0486
2024-05,11,11,288,0.0382
2024-05,12,9,288,0.0312
2024-05,13,23,288,0.0799
2024-05,14,20,288,0.0694
2024-05,15,15,288,0.0521
2024-05,16,16,288,0.0556
2024-05,17,19,288,0.066
2024-05,18,33,288,0.1146
2024-05,19,25,288,0.0868
2024-05,20,24,288,0.0833
2024-06,1,195,195,1.0
2024-06,2,12,195,0.0615
2024-06,3,8,195,0.041
2024-06,4,8,195,0.041
2024-06,5,15,195,0.0769
2024-06,6,16,195,0.0821
2024-06,7,16,195,0.0821
2024-06,8,6,195,0.0308
2024-06,9,9,195,0.0462
2024-06,10,5,195,0.0256
2024-06,11,5,195,0.0256
2024-06,12,13,195,0.0667
2024-06,13,18,195,0.0923
2024-06,14,8,195,0.041
2024-06,15,11,195,0.0564
2024-06,16,9,195,0.0462
2024-06,17,19,195,0.0974
2024-06,18,22,195,0.1128
2024-06,19,24,195,0.1231
2024-07,1,112,112,1.0
2024-07,2,2,112,0.0179
2024-07,3,3,112,0.0268
2024-07,4,8,112,0.0714
2024-07,5,3,112,0.0268
2024-07,6,7,112,0.0625
2024-07,7,6,112,0.0536
2024-07,8,4,112,0.0357
2024-07,9,2,112,0.0179
2024-07,10,1,112,0.0089
2024-07,11,13,112,0.1161
2024-07,12,9,112,0.0804
2024-07,13,7,112,0.0625
2024-07,14,5,112,0.0446
2024-07,15,6,112,0.0536
2024-07,16,14,112,0.125
2024-07,17,13,112,0.1161
2024-07,18,8,112,0.0714
2024-08,1,129,129,1.0
2024-08,2,1,129,0.0078
2024-08,3,10,129,0.0775
2024-08,4,5,129,0.0388
2024-08,5,12,129,0.093
2024-08,6,5,129,0.0388
2024-08,7,5,129,0.0388
2024-08,8,5,129,0.0388
2024-08,9,5,129,0.0388
2024-08,10,8,129,0.062
2024-08,11,2,129,0.0155
2024-08,12,4,129,0.031
2024-08,13,3,129,0.0233
2024-08,14,9,129,0.0698
2024-08,15,12,129,0.093
2024-08,16,14,129,0.1085
2024-08,17,8,129,0.062
2024-09,1,132,132,1.0
2024-09,2,10,132,0.0758
2024-09,3,13,132,0.0985
2024-09,4,7,132,0.053
2024-09,5,7,132,0.053
2024-09,6,2,132,0.0152
2024-09,7,6,132,0.0455
2024-09,8,3,132,0.0227
2024-09,9,12,132,0.0909
2024-09,10,9,132,0.0682
2024-09,12,1,132,0.0076
2024-09,13,5,132,0.0379
2024-09,14,13,132,0.0985
2024-09,15,12,132,0.0909
2024-09,16,10,132,0.0758
2024-10,1,270,270,1.0
2024-10,2,22,270,0.0815
2024-10,3,14,270,0.0519
2024-10,4,9,270,0.0333
2024-10,5,8,270,0.0296
2024-10,6,11,270,0.0407
2024-10,7,12,270,0.0444
2024-10,8,21,270,0.0778
2024-10,9,15,270,0.0556
2024-10,10,11,270,0.0407
2024-10,11,11,270,0.0407
2024-10,12,11,270,0.0407
2024-10,13,20,270,0.0741
2024-10,14,24,270,0.0889
2024-10,15,21,270,0.0778
2024-11,1,218,218,1.0
2024-11,2,10,218,0.0459
2024-11,3,12,218,0.055
2024-11,4,7,218,0.0321
2024-11,5,12,218,0.055
2024-11,6,10,218,0.0459
2024-11,7,11,218,0.0505
2024-11,8,9,218,0.0413
2024-11,9,12,218,0.055
2024-11,10,3,218,0.0138
2024-11,11,2,218,0.0092
2024-11,12,18,218,0.0826
2024-11,13,29,218,0.133
2024-11,14,19,218,0.0872
2024-12,1,143,143,1.0
2024-12,2,4,143,0.028
2024-12,3,4,143,0.028
2024-12,4,1,143,0.007
2024-12,5,6,143,0.042
2024-12,6,9,143,0.0629
2024-12,7,6,143,0.042
2024-12,8,6,143,0.042
2024-12,9,5,143,0.035
2024-12,10,6,143,0.042
2024-12,11,9,143,0.0629
2024-12,12,24,143,0.1678
2024-12,13,7,143,0.049
2025-01,1,104,104,1.0
2025-01,2,2,104,0.0192
2025-01,3,2,104,0.0192
2025-01,4,5,104,0.0481
2025-01,5,7,104,0.0673
2025-01,6,5,104,0.0481
2025-01,7,5,104,0.0481
2025-01,9,3,104,0.0288
2025-01,10,12,104,0.1154
2025-01,11,10,104,0.0962
2025-01,12,9,104,0.0865
2025-02,1,54,54,1.0
2025-02,2,3,54,0.0556
2025-02,3,2,54,0.037
2025-02,4,3,54,0.0556
2025-02,5,2,54,0.037
2025-02,6,2,54,0.037
2025-02,8,4,54,0.0741
2025-02,9,5,54,0.0926
2025-02,10,11,54,0.2037
2025-02,11,3,54,0.0556
2025-03,1,72,72,1.0
2025-03,2,3,72,0.0417
2025-03,3,1,72,0.0139
2025-03,4,2,72,0.0278
2025-03,5,2,72,0.0278
2025-03,6,2,72,0.0278
2025-03,7,1,72,0.0139
2025-03,8,2,72,0.0278
2025-03,9,3,72,0.0417
2025-03,10,5,72,0.0694
2025-04,1,77,77,1.0
2025-04,2,3,77,0.039
2025-04,3,4,77,0.0519
2025-04,4,2,77,0.026
2025-04,5,5,77,0.0649
2025-04,7,8,77,0.1039
2025-04,8,2,77,0.026
2025-04,9,6,77,0.0779
2025-05,1,137,137,1.0
2025-05,2,4,137,0.0292
2025-05,3,3,137,0.0219
2025-05,4,5,137,0.0365
2025-05,5,2,137,0.0146
2025-05,6,8,137,0.0584
2025-05,7,10,137,0.073
2025-05,8,4,137,0.0292
2025-06,1,120,120,1.0
2025-06,2,2,120,0.0167
2025-06,3,3,120,0.025
2025-06,4,3,120,0.025
2025-06,5,10,120,0.0833
2025-06,6,3,120,0.025
2025-06,7,11,120,0.0917
2025-07,1,76,76,1.0
2025-07,2,3,76,0.0395
2025-07,3,4,76,0.0526
2025-07,4,4,76,0.0526
2025-07,5,1,76,0.0132
2025-07,6,6,76,0.0789
2025-08,1,61,61,1.0
2025-08,2,2,61,0.0328
2025-08,3,3,61,0.0492
2025-08,4,3,61,0.0492
2025-08,5,2,61,0.0328
2025-09,1,59,59,1.0
2025-09,2,6,59,0.1017
2025-09,3,2,59,0.0339
2025-09,4,3,59,0.0508
2025-10,1,143,143,1.0
2025-10,2,14,143,0.0979
2025-10,3,3,143,0.021
2025-11,1,140,140,1.0
2025-11,2,6,140,0.0429
2025-12,1,91,91,1.0
