customer_id,recency_days,frequency,monetary,returns,recency_score,frequency_score,monetary_score,rfm_score,rfm_segment
C100567,60,7,129981.26,5070.31,2,4,4,10,Loyal
C100568,198,1,21907.06,0.0,3,1,2,6,At Risk
C100572,71,1,5079.97,0.0,2,1,1,4,At Risk
C100574,18,3,18022.57,0.0,1,3,2,6,At Risk
C100575,397,2,20751.62,0.0,4,2,2,8,Needs Attention
C100576,441,4,63432.770000000004,0.0,4,4,3,11,Loyal
C100577,549,3,54163.759999999995,0.0,5,3,3,11,Loyal
C100578,166,8,256823.2,37205.85,3,5,5,13,Champions
C100579,88,5,117119.47,0.0,2,4,4,10,Loyal
C100581,514,1,5207.73,0.0,4,1,1,6,At Risk
C100582,262,1,7426.71,0.0,4,1,1,6,At Risk
C100583,806,1,43242.25,0.0,5,1,3,9,Needs Attention
C100584,437,2,7406.27,4637.08,4,2,1,7,Needs Attention
C100585,104,5,41689.26,8821.099999999999,3,4,3,10,Loyal
C100586,21,6,171238.47000000003,0.0,1,4,5,10,Loyal
C100589,382,2,44540.44,41006.59,4,2,3,9,Needs Attention
C100590,17,43,1077887.6600000001,173243.72,1,5,5,11,Loyal
C100591,195,2,50176.31,0.0,3,2,3,8,Needs Attention
C100593,281,1,3479.01,0.0,4,1,1,6,At Risk
