customer_id,customer_name,gender,age,city,state,region,signup_date,acquisition_channel,loyalty_tier,customer_segment_seed
C100105,Customer 00105,Male,18,Gurugram,Haryana,North,2025-03-25,Organic Search,Bronze,Loyal
C100106,Customer 00106,Female,22,Gurugram,Haryana,North,2025-03-18,Social,Bronze,Occasional
C100107,Customer 00107,Female,47,Mumbai,Maharashtra,West,2024-11-19,Direct,Bronze,Loyal
C100108,Customer 00108,Male,46,Bengaluru,Karnataka,South,2024-05-03,Social,Bronze,Discount Seeker
C100109,Customer 00109,Male,18,Pune,Maharashtra,West,2024-12-30,Organic Search,Bronze,Discount Seeker
C100110,Customer 00110,Male,41,Mumbai,Maharashtra,West,2023-10-14,Paid Search,Silver,Loyal
C100111,Customer 00111,Non-binary,18,Bengaluru,Karnataka,South,2025-03-19,Social,Bronze,Occasional
C100112,Customer 00112,Male,33,Delhi,Delhi,North,2024-07-29,Paid Search,Bronze,Discount Seeker
C100113,Customer 00113,Female,21,Bhopal,Madhya Pradesh,Central,2024-04-19,Paid Search,Silver,Occasional
C100114,Customer 00114,Female,42,Hyderabad,Telangana,South,2024-06-07,Social,Silver,New
C100115,Customer 00115,Female,39,Ahmedabad,Gujarat,West,2024-08-11,Direct,Silver,Loyal
C100116,Customer 00116,Female,43,Bengaluru,Karnataka,South,2023-02-08,Affiliate,Silver,Loyal
C100117,Customer 00117,Female,30,Mumbai,Maharashtra,West,2023-05-25,Organic Search,Gold,Loyal
C100118,Customer 00118,Female,31,Surat,Gujarat,West,2023-09-12,Affiliate,Bronze,New
C100119,Customer 00119,Male,18,Mumbai,Maharashtra,West,2023-04-29,Paid Search,Gold,Occasional
C100120,Customer 00120,Male,23,Mumbai,Maharashtra,West,2024-03-31,Affiliate,Bronze,Prime
C100121,Customer 00121,Female,42,Bengaluru,Karnataka,South,2024-11-22,Email,Gold,Occasional
C100122,Customer 00122,Male,37,Kolkata,West Bengal,East,2024-11-08,Email,Bronze,Occasional
C100123,Customer 00123,Female,34,Bengaluru,Karnataka,South,2024-05-02,Paid Search,Platinum,Discount Seeker
C100124,Customer 00124,Male,46,Mumbai,Maharashtra,West,2025-06-04,Affiliate,Gold,Occasional
C100125,Customer 00125,Male,20,Bengaluru,Karnataka,South,2024-08-08,Social,Bronze,Prime
C100126,Customer 00126,Female,40,Delhi,Delhi,North,2023-03-23,Email,Bronze,Prime
C100127,Customer 00127,Female,21,Mumbai,Maharashtra,West,2025-03-02,Social,Bronze,Occasional
C100128,Customer 00128,Prefer not to say,48,Chennai,Tamil Nadu,South,2024-08-17,Organic Search,Bronze,Loyal
C100129,Customer 00129,Male,38,Mumbai,Maharashtra,West,2024-10-18,Social,Bronze,New
C100130,Customer 00130,Male,43,Delhi,Delhi,North,2024-08-08,Organic Search,Silver,New
C100131,Customer 00131,Female,26,Pune,Maharashtra,West,2024-07-26,Organic Search,Bronze,Occasional
C100132,Customer 00132,Female,55,Kolkata,West Bengal,East,2023-04-04,Social,Bronze,Discount Seeker
C100133,Customer 00133,Female,53,Delhi,Delhi,North,2024-08-01,Social,Bronze,Loyal
C100134,Customer 00134,Non-binary,37,Bengaluru,Karnataka,South,2025-04-02,Organic Search,Bronze,Prime
C100135,Customer 00135,Female,45,Delhi,Delhi,North,2023-11-11,Organic Search,Bronze,Prime
C100136,Customer 00136,Female,30,Bhopal,Madhya Pradesh,Central,2024-09-15,Social,Silver,Occasional
C100137,Customer 00137,Prefer not to say,20,Delhi,Delhi,North,2023-02-01,Influencer,Bronze,Loyal
C100138,Customer 00138,Male,41,Delhi,Delhi,North,2023-12-26,Social,Gold,Discount Seeker
C100139,Customer 00139,Female,24,Hyderabad,Telangana,South,2024-03-28,Affiliate,Silver,Discount Seeker
C100140,Customer 00140,Male,46,Delhi,Delhi,North,2025-10-14,Social,Platinum,New
C100141,Customer 00141,Male,43,Mumbai,Maharashtra,West,2023-08-11,Organic Search,Bronze,Discount Seeker
C100142,Customer 00142,Non-binary,35,Mumbai,Maharashtra,West,2023-10-14,Organic Search,Bronze,Occasional
C100143,Customer 00143,Female,35,Pune,Maharashtra,West,2024-02-27,Paid Search,Bronze,Occasional
C100144,Customer 00144,Male,43,Pune,Maharashtra,West,2025-10-24,Direct,Bronze,New
C100145,Customer 00145,Female,36,Pune,Maharashtra,West,2025-06-02,Paid Search,Gold,Loyal
C100146,Customer 00146,Male,29,Ahmedabad,Gujarat,West,2023-02-05,Paid Search,Silver,Loyal
C100147,Customer 00147,Male,18,Bengaluru,Karnataka,South,2023-08-31,Email,Platinum,Occasional
C100148,Customer 00148,Male,43,Kochi,Kerala,South,2025-04-30,Affiliate,Gold,New
C100149,Customer 00149,Male,37,Ahmedabad,Gujarat,West,2023-03-02,Email,Bronze,Prime
C100150,Customer 00150,Male,61,Jaipur,Rajasthan,North,2025-06-04,Paid Search,Bronze,New
C100151,Customer 00151,Female,32,Kolkata,West Bengal,East,2023-10-19,Direct,Bronze,Occasional
C100152,Customer 00152,Female,36,Bengaluru,Karnataka,South,2025-08-07,Paid Search,Silver,Occasional
C100153,Customer 00153,Female,36,Delhi,Delhi,North,2023-10-31,Paid Search,Silver,Discount Seeker
C100154,Customer 00154,Male,40,Hyderabad,Telangana,South,2024-03-25,Direct,Bronze,Occasional
C100155,Customer 00155,Female,23,Mumbai,Maharashtra,West,2024-11-16,Direct,Gold,New
C100156,Customer 00156,Male,32,Hyderabad,Telangana,South,2023-05-11,Influencer,Gold,Occasional
C100157,Customer 00157,Male,41,Mumbai,Maharashtra,West,2024-07-30,Social,Platinum,Discount Seeker
C100158,Customer 00158,Prefer not to say,30,Mumbai,Maharashtra,West,2024-06-06,Direct,Bronze,Occasional
C100159,Customer 00159,Female,41,Indore,Madhya Pradesh,Central,2025-03-22,Organic Search,Silver,Discount Seeker
C100160,Customer 00160,Male,34,Kolkata,West Bengal,East,2025-10-27,Direct,Silver,Discount Seeker
C100161,Customer 00161,Male,37,Chennai,Tamil Nadu,South,2024-11-18,Affiliate,Bronze,Occasional
C100162,Customer 00162,Prefer not to say,45,Bengaluru,Karnataka,South,2024-02-28,Paid Search,Bronze,Prime
C100163,Customer 00163,Male,31,Chennai,Tamil Nadu,South,2024-02-25,Paid Search,Bronze,Discount Seeker
C100164,Customer 00164,Female,18,Kochi,Kerala,South,2024-03-08,Affiliate,Bronze,Loyal
C100165,Customer 00165,Female,30,Pune,Maharashtra,West,2025-04-22,Social,Silver,Loyal
C100166,Customer 00166,Non-binary,25,Pune,Maharashtra,West,2023-11-29,Influencer,Gold,Occasional
C100167,Customer 00167,Male,18,Hyderabad,Telangana,South,2023-06-22,Direct,Platinum,Loyal
C100168,Customer 00168,Male,32,Bengaluru,Karnataka,South,2023-12-12,Affiliate,Bronze,Discount Seeker
C100169,Customer 00169,Male,35,Kolkata,West Bengal,East,2023-01-24,Paid Search,Silver,Loyal
C100170,Customer 00170,Male,43,Gurugram,Haryana,North,2023-04-20,Affiliate,Bronze,Occasional
C100171,Customer 00171,Male,22,Hyderabad,Telangana,South,2023-04-04,Affiliate,Bronze,Discount Seeker
C100172,Customer 00172,Male,34,Bengaluru,Karnataka,South,2025-03-09,Social,Gold,Prime
C100173,Customer 00173,Male,44,Hyderabad,Telangana,South,2025-01-17,Organic Search,Platinum,Occasional
C100174,Customer 00174,Female,27,Hyderabad,Telangana,South,2024-12-22,Affiliate,Platinum,Prime
C100175,Customer 00175,Female,38,Noida,Uttar Pradesh,North,2024-04-23,Paid Search,Bronze,Discount Seeker
C100176,Customer 00176,Female,49,Kolkata,West Bengal,East,2025-01-12,Organic Search,Silver,Occasional
C100177,Customer 00177,Female,18,Bengaluru,Karnataka,South,2023-06-16,Organic Search,Bronze,Discount Seeker
C100178,Customer 00178,Male,36,Bengaluru,Karnataka,South,2025-07-21,Paid Search,Silver,Prime
C100179,Customer 00179,Male,45,Hyderabad,Telangana,South,2024-06-02,Social,Bronze,New
C100180,Customer 00180,Female,29,Mumbai,Maharashtra,West,2025-08-28,Organic Search,Bronze,Occasional
C100181,Customer 00181,Female,47,Chennai,Tamil Nadu,South,2023-06-07,Social,Platinum,Occasional
C100182,Customer 00182,Male,39,Jaipur,Rajasthan,North,2024-05-29,Direct,Bronze,Loyal
C100183,Customer 00183,Male,51,Pune,Maharashtra,West,2024-12-21,Email,Gold,Loyal
C100184,Customer 00184,Male,39,Delhi,Delhi,North,2024-05-27,Social,Bronze,Prime
C100185,Customer 00185,Female,52,Ahmedabad,Gujarat,West,2024-04-06,Paid Search,Gold,Prime
C100186,Customer 00186,Female,36,Kolkata,West Bengal,East,2023-06-22,Social,Platinum,Occasional
C100187,Customer 00187,Male,19,Delhi,Delhi,North,2024-01-30,Email,Bronze,Discount Seeker
C100188,Customer 00188,Male,27,Pune,Maharashtra,West,2023-09-05,Direct,Bronze,Prime
C100189,Customer 00189,Male,43,Pune,Maharashtra,West,2023-11-09,Direct,Gold,Loyal
C100190,Customer 00190,Male,43,Lucknow,Uttar Pradesh,North,2024-12-08,Social,Bronze,Prime
C100191,Customer 00191,Female,30,Mumbai,Maharashtra,West,2024-10-14,Organic Search,Bronze,Occasional
C100192,Customer 00192,Female,51,Delhi,Delhi,North,2024-09-20,Email,Bronze,Loyal
C100193,Customer 00193,Female,29,Hyderabad,Telangana,South,2024-01-10,Influencer,Bronze,Loyal
C100194,Customer 00194,Female,38,Mumbai,Maharashtra,West,2025-09-20,Influencer,Bronze,Occasional
C100195,Customer 00195,Female,37,Hyderabad,Telangana,South,2023-04-01,Influencer,Bronze,Occasional
C100196,Customer 00196,Female,20,Jaipur,Rajasthan,North,2023-12-21,Paid Search,Bronze,Loyal
C100197,Customer 00197,Female,32,Mumbai,Maharashtra,West,2023-05-03,Direct,Platinum,Discount Seeker
C100198,Customer 00198,Male,57,Hyderabad,Telangana,South,2023-12-17,Organic Search,Bronze,Occasional
C100199,Customer 00199,Female,24,Noida,Uttar Pradesh,North,2025-09-22,Organic Search,Bronze,Discount Seeker
C100200,Customer 00200,Male,39,Hyderabad,Telangana,South,2024-01-15,Email,Gold,Occasional
C100201,Customer 00201,Female,21,Hyderabad,Telangana,South,2025-07-29,Organic Search,Gold,Occasional
C100202,Customer 00202,Female,24,Chennai,Tamil Nadu,South,2024-05-27,Paid Search,Bronze,New
C100203,Customer 00203,Female,19,Delhi,Delhi,North,2024-12-25,Organic Search,Bronze,Occasional
C100204,Customer 00204,Female,42,Mumbai,Maharashtra,West,2024-04-18,Organic Search,Bronze,Loyal
C100205,Customer 00205,Female,24,Kolkata,West Bengal,East,2023-10-03,Organic Search,Platinum,Discount Seeker
C100206,Customer 00206,Male,46,Bengaluru,Karnataka,South,2025-03-01,Social,Gold,Discount Seeker
C100207,Customer 00207,Male,28,Bengaluru,Karnataka,South,2025-09-30,Paid Search,Bronze,New
C100208,Customer 00208,Female,34,Mumbai,Maharashtra,West,2023-09-30,Social,Bronze,Occasional
C100209,Customer 00209,Female,37,Lucknow,Uttar Pradesh,North,2025-03-17,Email,Silver,Occasional
C100210,Customer 00210,Female,18,Mumbai,Maharashtra,West,2023-09-28,Organic Search,Gold,Occasional
C100211,Customer 00211,Male,35,Ahmedabad,Gujarat,West,2025-01-11,Direct,Bronze,Occasional
C100212,Customer 00212,Female,36,Bengaluru,Karnataka,South,2025-03-27,Organic Search,Platinum,Prime
C100213,Customer 00213,Female,44,Pune,Maharashtra,West,2024-04-10,Direct,Gold,Discount Seeker
C100214,Customer 00214,Male,23,Delhi,Delhi,North,2025-02-01,Influencer,Silver,Discount Seeker
C100215,Customer 00215,Male,25,Mumbai,Maharashtra,West,2023-10-09,Direct,Silver,Discount Seeker
C100216,Customer 00216,Male,40,Chennai,Tamil Nadu,South,2023-03-24,Social,Silver,Discount Seeker
C100217,Customer 00217,Female,47,Kolkata,West Bengal,East,2023-04-10,Affiliate,Gold,Loyal
C100218,Customer 00218,Female,27,Delhi,Delhi,North,2024-04-07,Organic Search,Silver,Prime
C100219,Customer 00219,Female,21,Hyderabad,Telangana,South,2025-07-23,Direct,Gold,Occasional
C100220,Customer 00220,Male,30,Hyderabad,Telangana,South,2023-05-13,Organic Search,Gold,Occasional
C100221,Customer 00221,Male,23,Delhi,Delhi,North,2024-04-16,Social,Silver,Discount Seeker
C100222,Customer 00222,Female,37,Chennai,Tamil Nadu,South,2024-12-29,Social,Bronze,Occasional
C100223,Customer 00223,Male,22,Mumbai,Maharashtra,West,2023-07-29,Affiliate,Bronze,Occasional
C100224,Customer 00224,Male,43,Chennai,Tamil Nadu,South,2025-01-16,Affiliate,Bronze,Occasional
C100225,Customer 00225,Male,35,Mumbai,Maharashtra,West,2023-11-13,Paid Search,Bronze,Occasional
C100226,Customer 00226,Female,43,Hyderabad,Telangana,South,2025-04-16,Organic Search,Silver,Discount Seeker
C100227,Customer 00227,Female,18,Bengaluru,Karnataka,South,2024-08-22,Affiliate,Silver,Discount Seeker
C100228,Customer 00228,Female,18,Hyderabad,Telangana,South,2024-07-20,Influencer,Bronze,Occasional
C100229,Customer 00229,Male,46,Hyderabad,Telangana,South,2023-07-02,Organic Search,Silver,Discount Seeker
C100230,Customer 00230,Female,26,Kochi,Kerala,South,2024-04-24,Affiliate,Bronze,Occasional
C100231,Customer 00231,Female,18,Hyderabad,Telangana,South,2025-06-05,Social,Platinum,Discount Seeker
C100232,Customer 00232,Male,31,Lucknow,Uttar Pradesh,North,2023-01-21,Paid Search,Silver,Prime
C100233,Customer 00233,Male,35,Delhi,Delhi,North,2025-02-24,Organic Search,Bronze,Discount Seeker
C100234,Customer 00234,Male,31,Bengaluru,Karnataka,South,2024-05-25,Affiliate,Gold,Occasional
C100235,Customer 00235,Male,38,Mumbai,Maharashtra,West,2025-01-14,Organic Search,Bronze,Discount Seeker
C100236,Customer 00236,Male,36,Hyderabad,Telangana,South,2024-11-17,Direct,Bronze,Discount Seeker
C100237,Customer 00237,Male,36,Kolkata,West Bengal,East,2024-03-23,Paid Search,Bronze,Occasional
C100238,Customer 00238,Female,46,Lucknow,Uttar Pradesh,North,2023-11-16,Email,Bronze,Loyal
C100239,Customer 00239,Female,33,Chennai,Tamil Nadu,South,2024-10-11,Paid Search,Gold,Discount Seeker
C100240,Customer 00240,Female,33,Pune,Maharashtra,West,2023-05-26,Email,Platinum,Occasional
C100241,Customer 00241,Female,41,Delhi,Delhi,North,2024-08-27,Organic Search,Gold,Occasional
C100242,Customer 00242,Male,39,Mumbai,Maharashtra,West,2023-04-09,Paid Search,Bronze,Occasional
C100243,Customer 00243,Male,24,Jaipur,Rajasthan,North,2024-11-03,Social,Bronze,Discount Seeker
C100244,Customer 00244,Female,32,Delhi,Delhi,North,2024-10-12,Email,Bronze,Prime
C100245,Customer 00245,Male,37,Mumbai,Maharashtra,West,2023-03-29,Email,Bronze,Occasional
C100246,Customer 00246,Male,27,Indore,Madhya Pradesh,Central,2025-02-22,Organic Search,Gold,Discount Seeker
C100247,Customer 00247,Male,28,Bhopal,Madhya Pradesh,Central,2024-03-06,Organic Search,Bronze,Occasional
C100248,Customer 00248,Male,19,Pune,Maharashtra,West,2025-03-25,Paid Search,Bronze,Occasional
C100249,Customer 00249,Female,18,Bengaluru,Karnataka,South,2023-02-13,Organic Search,Silver,Occasional
C100250,Customer 00250,Female,29,Lucknow,Uttar Pradesh,North,2023-07-05,Paid Search,Silver,Loyal
C100251,Customer 00251,Female,34,Delhi,Delhi,North,2024-05-26,Organic Search,Platinum,New
C100252,Customer 00252,Male,22,Hyderabad,Telangana,South,2023-07-14,Social,Platinum,Loyal
C100253,Customer 00253,Female,47,Bengaluru,Karnataka,South,2023-12-08,Organic Search,Bronze,Discount Seeker
C100254,Customer 00254,Male,23,Kochi,Kerala,South,2024-11-14,Social,Gold,Occasional
C100255,Customer 00255,Female,42,Kochi,Kerala,South,2023-05-30,Affiliate,Platinum,Discount Seeker
C100256,Customer 00256,Male,37,Pune,Maharashtra,West,2024-12-02,Affiliate,Gold,Discount Seeker
C100257,Customer 00257,Male,55,Mumbai,Maharashtra,West,2023-04-18,Social,Platinum,Occasional
C100258,Customer 00258,Female,38,Hyderabad,Telangana,South,2023-07-01,Organic Search,Silver,New
C100259,Customer 00259,Male,19,Delhi,Delhi,North,2024-08-31,Social,Bronze,Occasional
C100260,Customer 00260,Male,44,Surat,Gujarat,West,2025-04-01,Paid Search,Gold,New
C100261,Customer 00261,Male,50,Mumbai,Maharashtra,West,2023-06-26,Social,Bronze,Prime
C100262,Customer 00262,Male,18,Mumbai,Maharashtra,West,2023-11-07,Direct,Gold,Discount Seeker
C100263,Customer 00263,Male,39,Kolkata,West Bengal,East,2025-08-15,Email,Silver,Occasional
C100264,Customer 00264,Female,42,Hyderabad,Telangana,South,2025-10-21,Direct,Silver,Discount Seeker
