review_id,order_id,customer_id,product_id,review_date,rating,review_text
R900037,O500079,C102516,P200600,2023-11-18,4,Fast delivery
R900038,O500080,C103210,P200041,2024-08-05,5,Not worth the price
R900039,O500082,C105505,P200276,2025-01-20,4,Late delivery
R900040,O500083,C107591,P200511,2024-10-27,4,Not worth the price
R900041,O500084,C111528,P200101,2023-11-12,3,Excellent value
R900042,O500086,C102988,P200410,2024-11-26,3,Would buy again
R900043,O500087,C102885,P200613,2025-06-28,4,Product matched expectations
R900044,O500089,C100318,P200555,2024-09-25,4,Quality could be better
R900045,O500091,C105621,P200092,2024-11-05,4,Size or fit issue
R900046,O500093,C100499,P200108,2025-09-06,3,Would buy again
R900047,O500097,C105759,P200219,2025-11-04,2,Would buy again
R900048,O500098,C110061,P200033,2026-01-06,4,Fast delivery
R900049,O500099,C106064,P200600,2023-12-30,2,Size or fit issue
R900050,O500100,C106705,P200488,2024-06-02,4,Product matched expectations
R900051,O500102,C105179,P200600,2023-01-10,3,Not worth the price
R900052,O500106,C108663,P200273,2024-02-13,4,Would buy again
R900053,O500107,C108553,P200268,2024-03-03,3,Quality could be better
R900054,O500109,C110057,P200306,2023-11-25,5,Would buy again
R900055,O500110,C103264,P200280,2024-10-03,4,Late delivery
R900056,O500112,C105080,P200600,2025-11-22,4,Late delivery
R900057,O500116,C106852,P200600,2025-08-27,3,Would buy again
R900058,O500117,C110061,P200305,2025-03-06,1,Product matched expectations
R900059,O500118,C106432,P200253,2024-10-14,5,Excellent value
R900060,O500119,C102915,P200133,2025-01-27,5,Not worth the price
R900061,O500120,C108162,P200552,2025-07-20,3,Quality could be better
R900062,O500125,C107763,P200528,2024-10-20,4,Excellent value
R900063,O500126,C103032,P200190,2023-09-12,3,Fast delivery
R900064,O500127,C111303,P200600,2025-12-28,4,Would buy again
R900065,O500128,C111389,P200600,2023-05-14,4,Excellent value
R900066,O500131,C103376,P200170,2024-04-23,4,Quality could be better
R900067,O500136,C101466,P200600,2023-07-05,4,Quality could be better
R900068,O500139,C104619,P200464,2024-07-20,3,Excellent value
R900069,O500141,C100489,P200407,2024-05-15,5,Late delivery
R900070,O500142,C107624,P200645,2025-04-09,5,Excellent value
R900071,O500145,C110118,P200600,2025-07-19,3,Fast delivery
R900072,O500147,C101510,P200600,2024-11-03,4,Not worth the price
R900073,O500148,C108367,P200041,2024-02-20,4,Size or fit issue
R900074,O500149,C101806,P200464,2025-11-30,4,Product matched expectations
R900075,O500151,C109029,P200078,2025-04-21,3,Size or fit issue
R900076,O500153,C111376,P200447,2024-04-29,4,Would buy again
R900077,O500155,C102779,P200630,2026-01-09,4,Not worth the price
R900078,O500157,C109011,P200382,2025-06-11,4,Fast delivery
R900079,O500159,C111952,P200554,2024-07-25,4,Product matched expectations
R900080,O500160,C108132,P200078,2023-09-27,5,Size or fit issue
R900081,O500165,C103997,P200033,2025-12-26,4,Excellent value
R900082,O500167,C109530,P200600,2025-11-16,3,Quality could be better
R900083,O500170,C108291,P200328,2023-04-30,4,Not worth the price
R900084,O500175,C110454,P200107,2024-10-20,4,Excellent value
R900085,O500179,C101342,P200036,2024-10-23,4,Excellent value
R900086,O500187,C103376,P200600,2024-12-23,3,Size or fit issue
R900087,O500189,C110484,P200413,2024-11-04,4,Size or fit issue
R900088,O500191,C100783,P200382,2024-01-18,4,Would buy again
R900089,O500192,C105881,P200268,2024-09-13,4,Size or fit issue
R900090,O500194,C107089,P200600,2024-12-16,4,Late delivery
R900091,O500198,C108383,P200600,2024-07-16,3,Not worth the price
R900092,O500201,C104880,P200216,2023-12-05,5,Fast delivery
R900093,O500202,C100039,P200041,2025-06-05,3,Excellent value
R900094,O500203,C109546,P200600,2024-01-03,3,Product matched expectations
R900095,O500207,C100487,P200600,2023-05-04,1,Quality could be better
R900096,O500208,C110703,P200364,2023-03-13,3,Product matched expectations
R900097,O500209,C103303,P200600,2025-06-23,4,Fast delivery
R900098,O500211,C103027,P200107,2023-06-28,3,Fast delivery
R900099,O500213,C111777,P200483,2023-12-31,4,Product matched expectations
R900100,O500215,C110438,P200600,2025-10-20,4,Not worth the price
R900101,O500216,C101567,P200600,2025-12-27,4,Size or fit issue
R900102,O500226,C104228,P200600,2024-11-27,5,Fast delivery
R900103,O500233,C110445,P200524,2024-04-05,5,Size or fit issue
R900104,O500234,C105138,P200121,2024-09-25,4,Excellent value
R900105,O500236,C109867,P200578,2023-07-13,3,Excellent value
R900106,O500237,C108132,P200041,2025-05-15,3,Size or fit issue
R900107,O500238,C111178,P200368,2024-11-07,3,Size or fit issue
R900108,O500240,C103550,P200325,2025-11-15,4,Product matched expectations
R900109,O500245,C110170,P200600,2023-11-15,4,Fast delivery
R900110,O500246,C100352,P200056,2025-07-03,5,Late delivery
R900111,O500247,C110530,P200433,2024-02-02,4,Would buy again
R900112,O500249,C109235,P200429,2023-05-24,4,Would buy again
R900113,O500251,C102153,P200600,2023-11-12,1,Would buy again
R900114,O500254,C101187,P200047,2025-11-19,2,Size or fit issue
R900115,O500257,C105806,P200488,2025-10-10,4,Quality could be better
R900116,O500259,C103581,P200600,2025-09-09,4,Would buy again
R900117,O500261,C100259,P200033,2023-12-24,5,Excellent value
R900118,O500262,C107605,P200143,2025-12-18,4,Would buy again
R900119,O500268,C102111,P200302,2023-08-19,4,Would buy again
R900120,O500269,C103373,P200600,2025-11-12,3,Product matched expectations
R900121,O500271,C104309,P200460,2023-11-06,5,Fast delivery
R900122,O500275,C103703,P200306,2024-11-23,4,Product matched expectations
R900123,O500277,C110584,P200068,2025-05-27,3,Fast delivery
R900124,O500282,C101770,P200633,2024-06-29,5,Not worth the price
R900125,O500283,C100671,P200235,2024-12-06,5,Fast delivery
R900126,O500285,C101918,P200328,2023-06-20,4,Size or fit issue
R900127,O500288,C105355,P200580,2025-10-20,4,Fast delivery
R900128,O500289,C111379,P200600,2023-11-03,4,Size or fit issue
R900129,O500290,C100162,P200382,2025-05-19,5,Quality could be better
R900130,O500291,C102693,P200029,2025-06-12,4,Excellent value
R900131,O500293,C110438,P200600,2024-01-11,3,Size or fit issue
R900132,O500294,C110193,P200303,2025-04-20,3,Late delivery
R900133,O500295,C101245,P200464,2024-12-06,3,Fast delivery
R900134,O500297,C105505,P200600,2025-01-12,4,Fast delivery
R900135,O500300,C110793,P200600,2023-06-21,3,Size or fit issue
R900136,O500303,C111643,P200600,2023-06-20,4,Size or fit issue
R900137,O500308,C108017,P200167,2024-04-11,5,Would buy again
R900138,O500309,C109862,P200464,2023-07-11,4,Excellent value
R900139,O500314,C103648,P200268,2025-06-27,4,Fast delivery
R900140,O500315,C102077,P200600,2024-10-19,4,Not worth the price
R900141,O500316,C104124,P200078,2025-12-14,3,Quality could be better
R900142,O500317,C106535,P200149,2023-06-24,4,Late delivery
R900143,O500324,C100882,P200433,2023-03-10,4,Late delivery
R900144,O500326,C103310,P200109,2024-09-08,4,Product matched expectations
R900145,O500327,C111379,P200233,2023-09-25,4,Excellent value
R900146,O500329,C102446,P200590,2023-05-12,3,Not worth the price
R900147,O500330,C106422,P200488,2024-10-02,1,Size or fit issue
R900148,O500331,C111303,P200600,2024-05-23,5,Fast delivery
R900149,O500333,C102806,P200152,2024-11-04,4,Quality could be better
R900150,O500339,C103413,P200197,2024-09-23,5,Quality could be better
R900151,O500340,C110349,P200600,2025-04-30,3,Quality could be better
R900152,O500341,C107877,P200305,2024-12-06,4,Late delivery
R900153,O500344,C110365,P200600,2023-08-02,5,Would buy again
R900154,O500348,C104874,P200600,2024-10-29,3,Would buy again
R900155,O500349,C110365,P200440,2024-04-07,4,Not worth the price
R900156,O500350,C106047,P200517,2023-11-20,4,Late delivery
R900157,O500352,C106198,P200042,2023-09-19,3,Would buy again
R900158,O500358,C106005,P200041,2025-05-30,5,Would buy again
R900159,O500362,C107257,P200640,2023-12-16,5,Fast delivery
R900160,O500364,C111478,P200242,2024-03-27,4,Quality could be better
R900161,O500365,C100788,P200305,2025-09-01,5,Product matched expectations
R900162,O500366,C106934,P200525,2024-02-10,5,Fast delivery
R900163,O500367,C102327,P200041,2024-11-08,4,Product matched expectations
R900164,O500372,C101770,P200600,2024-02-03,3,Would buy again
R900165,O500374,C103119,P200364,2023-10-04,4,Would buy again
R900166,O500376,C107019,P200600,2023-06-15,5,Late delivery
R900167,O500377,C109786,P200018,2025-09-24,2,Would buy again
R900168,O500378,C103340,P200586,2024-09-20,1,Would buy again
R900169,O500380,C108518,P200228,2023-12-13,3,Would buy again
R900170,O500383,C102298,P200490,2024-09-07,4,Late delivery
R900171,O500386,C103352,P200600,2024-06-14,4,Fast delivery
R900172,O500387,C100969,P200600,2024-08-01,2,Excellent value
R900173,O500394,C106908,P200202,2025-07-20,4,Fast delivery
R900174,O500398,C107693,P200600,2025-03-21,4,Excellent value
R900175,O500401,C108373,P200175,2025-06-28,5,Size or fit issue
R900176,O500404,C105846,P200149,2025-12-28,4,Quality could be better
R900177,O500408,C101873,P200633,2024-06-24,2,Not worth the price
R900178,O500409,C103816,P200058,2025-12-02,4,Fast delivery
R900179,O500412,C108503,P200239,2023-02-17,5,Product matched expectations
R900180,O500415,C110061,P200600,2024-09-24,4,Excellent value
R900181,O500416,C111379,P200600,2024-07-05,4,Late delivery
R900182,O500419,C100662,P200535,2024-12-25,4,Not worth the price
R900183,O500420,C102111,P200600,2023-12-07,4,Excellent value
R900184,O500421,C101144,P200600,2023-03-10,4,Would buy again
R900185,O500422,C106019,P200279,2025-11-22,4,Not worth the price
R900186,O500423,C111837,P200277,2024-09-05,4,Not worth the price
R900187,O500424,C108437,P200600,2025-05-09,3,Size or fit issue
R900188,O500426,C100240,P200092,2023-08-15,5,Quality could be better
R900189,O500429,C103811,P200600,2023-04-19,2,Product matched expectations
R900190,O500430,C109152,P200600,2023-06-02,5,Size or fit issue
R900191,O500431,C103588,P200041,2023-10-15,5,Not worth the price
R900192,O500432,C108986,P200600,2025-11-05,4,Would buy again
R900193,O500433,C110906,P200041,2024-10-28,2,Would buy again
R900194,O500434,C104399,P200350,2023-03-28,5,Late delivery
R900195,O500438,C108650,P200600,2025-11-25,2,Quality could be better
R900196,O500444,C108162,P200600,2023-02-04,2,Product matched expectations
R900197,O500445,C106340,P200033,2023-12-10,2,Size or fit issue
R900198,O500447,C109633,P200609,2024-01-01,4,Product matched expectations
R900199,O500453,C101136,P200041,2024-08-26,5,Would buy again
R900200,O500455,C103904,P200496,2024-01-23,5,Quality could be better
R900201,O500462,C109188,P200600,2025-12-16,4,Not worth the price
R900202,O500466,C100709,P200600,2023-07-30,3,Size or fit issue
R900203,O500467,C105884,P200058,2025-12-14,5,Late delivery
R900204,O500468,C111379,P200296,2023-11-23,3,Excellent value
R900205,O500469,C106979,P200137,2024-09-27,3,Product matched expectations
R900206,O500471,C106198,P200600,2024-08-30,5,Not worth the price
R900207,O500472,C104735,P200319,2024-06-10,3,Excellent value
R900208,O500473,C107432,P200002,2023-08-08,5,Would buy again
R900209,O500474,C106918,P200197,2025-12-29,3,Excellent value
R900210,O500475,C108291,P200464,2024-12-31,5,Would buy again
R900211,O500479,C110478,P200619,2023-07-30,3,Product matched expectations
R900212,O500481,C108162,P200600,2025-10-19,3,Size or fit issue
R900213,O500482,C101635,P200328,2023-05-19,4,Fast delivery
R900214,O500487,C107660,P200364,2025-11-05,3,Not worth the price
R900215,O500488,C105179,P200406,2024-09-16,5,Would buy again
R900216,O500493,C105843,P200600,2023-05-19,3,Late delivery
R900217,O500495,C107462,P200600,2025-11-07,4,Quality could be better
R900218,O500497,C111057,P200041,2025-11-02,4,Not worth the price
R900219,O500498,C100884,P200125,2023-03-30,5,Quality could be better
R900220,O500499,C101269,P200041,2023-07-22,4,Excellent value
R900221,O500500,C109560,P200394,2025-10-28,5,Size or fit issue
R900222,O500502,C108179,P200154,2024-07-13,5,Would buy again
R900223,O500505,C110119,P200517,2025-10-15,3,Fast delivery
R900224,O500511,C108989,P200499,2024-01-14,5,Not worth the price
R900225,O500513,C101144,P200152,2025-05-23,4,Product matched expectations
R900226,O500515,C110420,P200596,2024-03-21,4,Not worth the price
R900227,O500516,C109326,P200600,2025-11-02,3,Size or fit issue
R900228,O500520,C110236,P200268,2023-09-26,5,Excellent value
R900229,O500521,C105986,P200600,2023-07-16,3,Product matched expectations
R900230,O500523,C111379,P200624,2024-01-24,5,Excellent value
R900231,O500527,C106341,P200047,2023-07-26,4,Fast delivery
R900232,O500530,C101053,P200014,2024-12-21,4,Not worth the price
R900233,O500531,C105368,P200039,2025-10-07,4,Excellent value
R900234,O500535,C111379,P200617,2023-12-20,4,Would buy again
R900235,O500536,C108291,P200499,2025-08-09,5,Quality could be better
R900236,O500537,C101053,P200352,2024-03-16,5,Not worth the price
R900237,O500538,C110359,P200488,2024-08-11,5,Size or fit issue
R900238,O500539,C106771,P200041,2024-01-17,4,Would buy again
R900239,O500541,C101790,P200085,2024-08-01,5,Excellent value
R900240,O500543,C102256,P200240,2023-01-27,3,Product matched expectations
R900241,O500547,C109473,P200600,2026-01-08,5,Not worth the price
R900242,O500548,C109814,P200464,2025-04-09,4,Size or fit issue
R900243,O500550,C103627,P200600,2025-10-27,3,Quality could be better
R900244,O500552,C105810,P200464,2023-09-27,4,Size or fit issue
R900245,O500553,C110163,P200600,2024-10-30,5,Size or fit issue
R900246,O500555,C105079,P200026,2025-12-15,4,Product matched expectations
R900247,O500556,C108451,P200637,2023-05-29,5,Late delivery
R900248,O500557,C106707,P200328,2024-02-18,4,Not worth the price
R900249,O500558,C104674,P200216,2025-06-09,4,Late delivery
R900250,O500559,C108578,P200041,2023-10-19,4,Fast delivery
R900251,O500560,C103413,P200078,2024-10-04,2,Late delivery
R900252,O500561,C101568,P200600,2025-11-12,2,Product matched expectations
R900253,O500562,C100751,P200600,2023-05-27,5,Size or fit issue
R900254,O500565,C104674,P200600,2025-06-21,5,Product matched expectations
R900255,O500567,C111040,P200600,2023-09-19,4,Fast delivery
R900256,O500570,C101299,P200539,2023-09-12,4,Not worth the price
R900257,O500571,C109960,P200600,2024-03-19,4,Product matched expectations
R900258,O500573,C110801,P200433,2023-06-12,3,Late delivery
R900259,O500574,C110714,P200394,2024-04-16,3,Would buy again
R900260,O500581,C102354,P200619,2023-11-22,1,Excellent value
R900261,O500582,C108032,P200600,2023-05-16,4,Product matched expectations
R900262,O500584,C111531,P200600,2024-05-06,5,Fast delivery
R900263,O500586,C105846,P200638,2025-01-03,3,Size or fit issue
R900264,O500588,C106528,P200600,2024-05-05,4,Excellent value
R900265,O500593,C103413,P200600,2023-06-20,5,Not worth the price
R900266,O500596,C108162,P200600,2025-05-27,4,Excellent value
R900267,O500600,C102699,P200296,2023-03-30,4,Excellent value
R900268,O500603,C111379,P200239,2025-12-15,3,Not worth the price
R900269,O500606,C109848,P200009,2023-05-13,4,Not worth the price
R900270,O500608,C107309,P200039,2023-08-27,3,Quality could be better
R900271,O500609,C109661,P200511,2025-12-11,3,Not worth the price
R900272,O500610,C100128,P200328,2024-08-19,5,Late delivery
R900273,O500611,C101621,P200014,2024-07-15,4,Late delivery
R900274,O500612,C105336,P200370,2023-05-12,4,Size or fit issue
R900275,O500613,C106357,P200464,2023-06-14,4,Late delivery
R900276,O500614,C106198,P200041,2025-07-28,3,Not worth the price
R900277,O500616,C102327,P200451,2023-06-05,5,Would buy again
R900278,O500619,C109444,P200286,2024-10-14,4,Not worth the price
R900279,O500623,C107089,P200631,2024-11-01,5,Product matched expectations
R900280,O500626,C109969,P200600,2025-11-17,3,Product matched expectations
R900281,O500627,C104908,P200600,2024-09-24,3,Size or fit issue
R900282,O500631,C101846,P200136,2024-12-06,1,Not worth the price
R900283,O500632,C106195,P200382,2024-12-05,4,Would buy again
R900284,O500633,C104391,P200373,2025-08-20,2,Product matched expectations
R900285,O500634,C108162,P200460,2025-03-11,4,Size or fit issue
R900286,O500635,C110061,P200460,2024-11-08,3,Size or fit issue
R900287,O500636,C102693,P200070,2024-11-29,4,Excellent value
R900288,O500637,C105111,P200600,2024-08-14,4,Late delivery
R900289,O500639,C103175,P200638,2023-11-11,4,Excellent value
R900290,O500641,C111268,P200590,2023-01-17,3,Fast delivery
R900291,O500642,C104873,P200041,2023-04-29,4,Late delivery
R900292,O500643,C106171,P200600,2024-09-02,5,Fast delivery
R900293,O500647,C100590,P200600,2025-06-10,5,Not worth the price
R900294,O500651,C101879,P200347,2024-04-02,5,Excellent value
R900295,O500652,C100282,P200517,2024-12-19,3,Late delivery
R900296,O500653,C110604,P200402,2025-05-13,4,Size or fit issue
R900297,O500658,C100148,P200600,2023-11-28,3,Quality could be better
R900298,O500659,C100729,P200128,2024-04-26,4,Late delivery
R900299,O500660,C110964,P200503,2023-12-19,4,Quality could be better
R900300,O500662,C108291,P200464,2024-04-24,3,Product matched expectations
R900301,O500663,C111389,P200085,2023-03-04,3,Excellent value
R900302,O500664,C106558,P200460,2023-03-09,4,Size or fit issue
R900303,O500668,C101999,P200370,2024-11-15,4,Size or fit issue
R900304,O500671,C101683,P200239,2023-10-08,3,Not worth the price
R900305,O500673,C109288,P200075,2024-10-07,3,Would buy again
R900306,O500674,C105553,P200221,2023-09-28,3,Late delivery
R900307,O500678,C108489,P200462,2024-10-14,4,Fast delivery
R900308,O500681,C111968,P200305,2023-02-01,4,Not worth the price
R900309,O500682,C110061,P200041,2023-04-25,3,Would buy again
R900310,O500683,C107005,P200536,2025-04-27,5,Product matched expectations
R900311,O500684,C110119,P200348,2023-10-24,5,Not worth the price
R900312,O500691,C105780,P200161,2025-07-03,4,Excellent value
R900313,O500695,C105697,P200216,2025-06-19,2,Would buy again
R900314,O500696,C111450,P200600,2024-01-30,3,Would buy again
R900315,O500698,C101887,P200600,2024-01-01,5,Late delivery
R900316,O500701,C111530,P200600,2025-11-10,5,Not worth the price
R900317,O500703,C100990,P200513,2025-10-21,3,Quality could be better
R900318,O500704,C108477,P200033,2025-09-17,5,Size or fit issue
R900319,O500705,C108868,P200026,2026-01-20,5,Size or fit issue
R900320,O500711,C111303,P200041,2023-08-03,2,Product matched expectations
R900321,O500714,C100385,P200539,2024-11-08,4,Size or fit issue
R900322,O500716,C107669,P200328,2023-04-15,4,Excellent value
R900323,O500717,C104846,P200600,2024-03-21,4,Quality could be better
R900324,O500720,C109654,P200600,2024-05-26,3,Size or fit issue
R900325,O500725,C110605,P200419,2024-10-20,4,Excellent value
R900326,O500727,C108208,P200619,2024-05-28,5,Not worth the price
R900327,O500728,C107385,P200517,2025-11-03,4,Fast delivery
R900328,O500729,C110477,P200464,2024-05-22,4,Not worth the price
R900329,O500731,C101173,P200078,2025-10-02,4,Fast delivery
R900330,O500733,C109817,P200460,2024-12-22,4,Late delivery
R900331,O500734,C100845,P200399,2025-05-27,3,Would buy again
R900332,O500737,C101491,P200024,2024-12-07,3,Not worth the price
R900333,O500740,C109934,P200305,2024-12-09,4,Product matched expectations
R900334,O500745,C105829,P200600,2024-09-05,4,Late delivery
R900335,O500746,C110558,P200600,2024-03-23,4,Late delivery
R900336,O500747,C105759,P200464,2023-06-15,4,Late delivery
R900337,O500749,C105420,P200364,2025-06-24,4,Would buy again
R900338,O500752,C100524,P200529,2024-08-16,1,Would buy again
R900339,O500754,C104951,P200148,2025-12-09,5,Not worth the price
R900340,O500758,C105337,P200451,2024-05-13,4,Size or fit issue
R900341,O500760,C100774,P200394,2024-10-17,3,Fast delivery
R900342,O500762,C110426,P200148,2025-10-25,4,Size or fit issue
R900343,O500763,C102555,P200600,2025-10-26,5,Fast delivery
R900344,O500764,C108291,P200513,2023-05-19,2,Fast delivery
R900345,O500767,C103823,P200572,2025-12-23,4,Would buy again
R900346,O500769,C103216,P200407,2025-12-06,4,Product matched expectations
R900347,O500771,C105336,P200239,2025-02-15,5,Size or fit issue
R900348,O500772,C110832,P200600,2025-04-21,4,Excellent value
R900349,O500779,C110061,P200218,2023-04-04,4,Fast delivery
R900350,O500781,C110061,P200600,2024-03-12,3,Quality could be better
R900351,O500784,C106871,P200600,2025-12-07,5,Would buy again
R900352,O500789,C109560,P200364,2025-05-25,3,Late delivery
R900353,O500791,C105846,P200309,2024-01-05,4,Size or fit issue
R900354,O500793,C107624,P200047,2023-12-09,4,Fast delivery
R900355,O500795,C101078,P200600,2025-04-29,2,Late delivery
R900356,O500796,C100473,P200282,2023-02-10,5,Not worth the price
R900357,O500799,C110137,P200328,2025-07-07,4,Size or fit issue
R900358,O500802,C108688,P200364,2023-09-08,4,Fast delivery
R900359,O500807,C109817,P200600,2025-06-12,3,Quality could be better
R900360,O500808,C105469,P200574,2025-05-01,3,Fast delivery
R900361,O500812,C105373,P200429,2023-11-26,3,Excellent value
R900362,O500815,C109169,P200506,2024-12-20,5,Quality could be better
R900363,O500818,C109043,P200600,2024-05-26,4,Product matched expectations
R900364,O500821,C106659,P200365,2025-04-23,1,Not worth the price
R900365,O500825,C106198,P200287,2025-06-11,2,Excellent value
R900366,O500827,C111544,P200512,2024-03-29,5,Not worth the price
R900367,O500828,C100838,P200063,2024-11-12,5,Would buy again
R900368,O500830,C108278,P200600,2024-10-20,3,Fast delivery
R900369,O500833,C111314,P200460,2024-01-07,2,Would buy again
R900370,O500835,C105555,P200600,2025-09-23,4,Excellent value
R900371,O500836,C100507,P200597,2025-07-01,3,Size or fit issue
R900372,O500842,C107136,P200600,2026-01-09,5,Not worth the price
R900373,O500845,C100327,P200063,2025-08-01,1,Would buy again
R900374,O500849,C110446,P200382,2025-10-27,3,Size or fit issue
R900375,O500850,C110371,P200419,2025-12-09,3,Late delivery
R900376,O500852,C103322,P200118,2025-06-06,4,Not worth the price
R900377,O500854,C102213,P200600,2024-04-30,4,Not worth the price
R900378,O500856,C109601,P200600,2026-01-03,5,Not worth the price
R900379,O500857,C102373,P200600,2023-06-09,3,Size or fit issue
R900380,O500865,C109130,P200202,2024-07-30,5,Fast delivery
R900381,O500867,C102846,P200538,2025-08-23,3,Late delivery
R900382,O500868,C102056,P200294,2026-01-08,4,Would buy again
R900383,O500869,C105249,P200600,2025-02-20,5,Not worth the price
R900384,O500870,C102400,P200364,2025-12-23,5,Excellent value
R900385,O500872,C103572,P200412,2024-06-27,5,Quality could be better
R900386,O500874,C100321,P200600,2025-07-03,4,Would buy again
R900387,O500876,C102606,P200406,2025-03-11,5,Product matched expectations
R900388,O500880,C105223,P200412,2023-06-23,4,Fast delivery
R900389,O500881,C108461,P200600,2023-12-31,4,Late delivery
R900390,O500883,C110714,P200352,2024-05-27,2,Quality could be better
R900391,O500884,C104849,P200368,2024-07-12,4,Size or fit issue
R900392,O500887,C103432,P200298,2023-07-05,3,Not worth the price
R900393,O500889,C111474,P200365,2024-03-13,4,Would buy again
R900394,O500890,C101346,P200600,2023-09-06,3,Product matched expectations
R900395,O500895,C107051,P200433,2023-04-20,4,Late delivery
R900396,O500896,C111303,P200429,2023-05-26,4,Excellent value
R900397,O500898,C104047,P200407,2024-05-16,4,Fast delivery
R900398,O500901,C106579,P200464,2024-09-21,5,Product matched expectations
R900399,O500902,C107998,P200300,2023-10-22,4,Product matched expectations
R900400,O500905,C105389,P200429,2023-09-08,3,Fast delivery
R900401,O500906,C108127,P200197,2025-06-12,4,Excellent value
R900402,O500907,C105279,P200364,2024-11-12,3,Late delivery
R900403,O500908,C102749,P200462,2025-08-30,3,Product matched expectations
R900404,O500909,C105072,P200364,2023-03-18,4,Size or fit issue
R900405,O500913,C109218,P200600,2025-06-18,5,Product matched expectations
R900406,O500915,C111670,P200262,2023-09-16,5,Late delivery
R900407,O500916,C101999,P200051,2023-12-15,4,Quality could be better
R900408,O500917,C103327,P200601,2024-12-27,4,Fast delivery
R900409,O500919,C106643,P200041,2023-01-18,4,Not worth the price
R900410,O500924,C100363,P200020,2025-04-11,4,Size or fit issue
R900411,O500933,C107039,P200018,2024-06-22,4,Excellent value
R900412,O500938,C111426,P200464,2024-02-23,4,Fast delivery
R900413,O500939,C101068,P200275,2023-07-19,2,Not worth the price
R900414,O500940,C106109,P200041,2023-03-15,4,Would buy again
R900415,O500941,C110194,P200464,2025-10-21,3,Not worth the price
R900416,O500943,C102662,P200041,2024-05-11,3,Product matched expectations
R900417,O500945,C104926,P200600,2025-10-29,3,Quality could be better
R900418,O500946,C103005,P200528,2024-02-03,5,Quality could be better
R900419,O500948,C104155,P200004,2023-12-09,4,Late delivery
R900420,O500951,C111389,P200060,2023-11-30,3,Product matched expectations
R900421,O500956,C110137,P200028,2025-08-28,4,Not worth the price
R900422,O500959,C111602,P200352,2023-11-03,4,Product matched expectations
R900423,O500961,C110061,P200382,2024-12-08,5,Late delivery
R900424,O500963,C108320,P200600,2025-12-07,4,Would buy again
R900425,O500965,C102777,P200197,2024-09-18,2,Would buy again
R900426,O500966,C110173,P200600,2024-02-24,5,Not worth the price
R900427,O500967,C109444,P200199,2024-05-18,4,Fast delivery
R900428,O500976,C104674,P200018,2024-10-11,4,Product matched expectations
R900429,O500978,C102876,P200109,2024-05-16,3,Excellent value
R900430,O500980,C106951,P200002,2025-11-09,4,Not worth the price
R900431,O500982,C105492,P200528,2023-09-04,5,Quality could be better
R900432,O500983,C101513,P200600,2023-07-25,4,Late delivery
R900433,O500984,C106512,P200278,2025-05-25,4,Late delivery
R900434,O500986,C111765,P200600,2025-01-03,3,Fast delivery
R900435,O500987,C106198,P200567,2025-11-04,5,Not worth the price
R900436,O500988,C108419,P200018,2024-09-19,4,Late delivery
