seller_id,seller_name,seller_city,seller_rating,onboarded_date
S3055,Seller Partner 055,Mumbai,4.05,2022-03-07
S3056,Seller Partner 056,Jaipur,4.86,2022-07-11
S3057,Seller Partner 057,Mumbai,3.9,2021-09-06
S3058,Seller Partner 058,Bengaluru,4.28,2021-07-08
S3059,Seller Partner 059,Delhi,4.41,2022-08-21
S3060,Seller Partner 060,Mumbai,4.94,2020-12-30
S3061,Seller Partner 061,Gurugram,4.3,2022-02-04
S3062,Seller Partner 062,Bengaluru,4.1,2021-12-01
S3063,Seller Partner 063,Bhopal,3.86,2022-06-23
S3064,Seller Partner 064,Pune,3.89,2022-06-28
S3065,Seller Partner 065,Mumbai,4.2,2022-04-18
S3066,Seller Partner 066,Pune,4.09,2022-07-22
S3067,Seller Partner 067,Delhi,4.18,2021-03-31
S3068,Seller Partner 068,Pune,4.4,2022-06-12
S3069,Seller Partner 069,Chennai,3.97,2021-06-23
S3070,Seller Partner 070,Mumbai,4.33,2022-06-05
S3071,Seller Partner 071,Chennai,4.56,2022-11-28
S3072,Seller Partner 072,Delhi,3.56,2021-12-22
S3073,Seller Partner 073,Mumbai,4.26,2020-12-13
S3074,Seller Partner 074,Lucknow,4.7,2022-08-16
S3075,Seller Partner 075,Delhi,4.35,2021-10-24
S3076,Seller Partner 076,Kochi,3.98,2021-11-10
S3077,Seller Partner 077,Surat,4.42,2021-07-16
S3078,Seller Partner 078,Bhopal,4.02,2022-01-02
S3079,Seller Partner 079,Lucknow,4.51,2021-08-12
S3080,Seller Partner 080,Kolkata,4.36,2022-08-08
S3081,Seller Partner 081,Pune,4.87,2022-10-09
S3082,Seller Partner 082,Hyderabad,4.16,2022-07-09
S3083,Seller Partner 083,Hyderabad,4.36,2021-01-17
S3084,Seller Partner 084,Hyderabad,4.08,2022-03-12
S3085,Seller Partner 085,Ahmedabad,4.24,2021-06-24
S3086,Seller Partner 086,Surat,3.9,2020-12-19
S3087,Seller Partner 087,Surat,4.66,2022-05-18
S3088,Seller Partner 088,Kochi,4.28,2022-08-07
S3089,Seller Partner 089,Chennai,4.21,2022-09-28
S3090,Seller Partner 090,Noida,4.52,2021-06-10
S3091,Seller Partner 091,Bengaluru,4.74,2020-10-29
S3092,Seller Partner 092,Kochi,5.0,2021-11-23
S3093,Seller Partner 093,Gurugram,3.9,2020-12-12
S3094,Seller Partner 094,Bhopal,4.44,2021-11-10
S3095,Seller Partner 095,Delhi,4.54,2021-05-25
S3096,Seller Partner 096,Surat,4.17,2022-05-30
S3097,Seller Partner 097,Bhopal,3.98,2021-10-17
S3098,Seller Partner 098,Pune,4.61,2022-08-23
S3099,Seller Partner 099,Lucknow,3.88,2021-09-03
S3100,Seller Partner 100,Ahmedabad,4.34,2022-05-18
S3101,Seller Partner 101,Ahmedabad,3.96,2021-11-18
S3102,Seller Partner 102,Surat,4.22,2022-04-19
S3103,Seller Partner 103,Chennai,3.66,2021-02-07
S3104,Seller Partner 104,Pune,3.84,2021-04-19
S3105,Seller Partner 105,Kochi,3.57,2021-05-12
S3106,Seller Partner 106,Delhi,5.0,2021-06-05
S3107,Seller Partner 107,Ahmedabad,3.7,2022-10-10
S3108,Seller Partner 108,Kochi,4.51,2022-02-19
S3109,Seller Partner 109,Delhi,3.94,2022-03-25
S3110,Seller Partner 110,Chennai,3.37,2022-08-07
S3111,Seller Partner 111,Bhopal,4.29,2021-05-23
S3112,Seller Partner 112,Jaipur,5.0,2021-06-26
S3113,Seller Partner 113,Surat,3.93,2020-11-03
S3114,Seller Partner 114,Bhopal,4.85,2020-11-22
S3115,Seller Partner 115,Indore,4.89,2021-04-27
S3116,Seller Partner 116,Pune,3.82,2021-02-24
S3117,Seller Partner 117,Hyderabad,3.6,2021-11-15
S3118,Seller Partner 118,Surat,3.93,2022-07-10
S3119,Seller Partner 119,Pune,4.58,2021-04-19
