product_id,product_name,category,subcategory,list_price,standard_margin_pct,status
P200026,Smartwatch Lite 026,Electronics,Smartwatch,9625.54,0.145,Discontinued
P200027,Camera Pro 027,Electronics,Camera,9019.4,0.086,Active
P200028,Storage Eco 028,Home & Kitchen,Storage,7840.1,0.377,Discontinued
P200029,Jeans Pro 029,Fashion,Jeans,6747.51,0.292,Discontinued
P200030,Sunscreen Eco 030,Beauty,Sunscreen,2199.26,0.387,Active
P200031,Cycle Accessories Max 031,Sports,Cycle Accessories,746.06,0.391,Active
P200032,Tablet Max 032,Electronics,Tablet,15617.79,0.206,Active
P200033,Dress Lite 033,Fashion,Dress,2685.22,0.329,Discontinued
P200034,Hair Dryer Plus 034,Beauty,Hair Dryer,4491.44,0.422,Active
P200035,Laptop Eco 035,Electronics,Laptop,48796.6,0.082,Active
P200036,Smartwatch Eco 036,Electronics,Smartwatch,82138.97,0.132,Discontinued
P200037,Beverages Max 037,Grocery,Beverages,1227.44,0.121,Active
P200038,Dumbbells Lite 038,Sports,Dumbbells,5976.1,0.264,Active
P200039,Smartphone Pro 039,Electronics,Smartphone,30050.07,0.191,Active
P200040,Children Plus 040,Books,Children,326.04,0.267,Discontinued
P200041,Smartphone Max 041,Electronics,Smartphone,69383.55,0.108,Discontinued
P200042,Mixer Eco 042,Home & Kitchen,Mixer,1661.01,0.224,Discontinued
P200043,Lamp Lite 043,Home & Kitchen,Lamp,16208.19,0.363,Active
P200044,Smartwatch Lite 044,Electronics,Smartwatch,59284.33,0.198,Active
P200045,Bedsheet Elite 045,Home & Kitchen,Bedsheet,12344.13,0.255,Active
P200046,Smartwatch Elite 046,Electronics,Smartwatch,6458.27,0.181,Discontinued
P200047,Bedsheet Plus 047,Home & Kitchen,Bedsheet,15043.49,0.391,Active
P200048,Storage Max 048,Home & Kitchen,Storage,16986.62,0.366,Discontinued
P200049,Jacket Lite 049,Fashion,Jacket,3688.18,0.439,Active
P200050,Makeup Kit Elite 050,Beauty,Makeup Kit,1860.64,0.343,Active
P200051,Cycle Accessories Plus 051,Sports,Cycle Accessories,11940.95,0.373,Active
P200052,Yoga Mat Pro 052,Sports,Yoga Mat,11242.45,0.359,Discontinued
P200053,Cookware Lite 053,Home & Kitchen,Cookware,4030.08,0.361,Active
P200054,Bedsheet Max 054,Home & Kitchen,Bedsheet,3163.1,0.376,Active
P200055,Jacket Pro 055,Fashion,Jacket,2902.78,0.544,Active
P200056,Hair Dryer Max 056,Beauty,Hair Dryer,953.09,0.352,Discontinued
P200057,Tablet Max 057,Electronics,Tablet,7259.69,0.175,Discontinued
P200058,Smartwatch Max 058,Electronics,Smartwatch,58876.05,0.191,Discontinued
P200059,T-Shirt Lite 059,Fashion,T-Shirt,2565.2,0.485,Active
P200060,Tablet Plus 060,Electronics,Tablet,7883.3,0.2,Active
P200061,Hair Dryer Eco 061,Beauty,Hair Dryer,2934.71,0.395,Active
P200062,Fiction Plus 062,Books,Fiction,769.83,0.178,Active
P200063,Headphones Eco 063,Electronics,Headphones,44265.89,0.132,Active
P200064,Shoes Pro 064,Sports,Shoes,1760.29,0.221,Discontinued
P200065,Board Game Pro 065,Toys,Board Game,303.53,0.333,Active
P200066,Cookware Eco 066,Home & Kitchen,Cookware,15652.36,0.255,Active
P200067,Organic Staples Plus 067,Grocery,Organic Staples,1384.12,0.101,Active
P200068,Smartwatch Elite 068,Electronics,Smartwatch,38065.96,0.189,Active
P200069,Bedsheet Max 069,Home & Kitchen,Bedsheet,6194.35,0.323,Active
P200070,Laptop Pro 070,Electronics,Laptop,55454.92,0.205,Discontinued
P200071,Mixer Max 071,Home & Kitchen,Mixer,15970.03,0.239,Active
P200072,Dress Max 072,Fashion,Dress,6852.28,0.534,Active
P200073,Self Help Lite 073,Books,Self Help,929.75,0.218,Discontinued
P200074,Skincare Elite 074,Beauty,Skincare,625.31,0.522,Active
P200075,Skincare Plus 075,Beauty,Skincare,4415.13,0.352,Active
P200076,T-Shirt Pro 076,Fashion,T-Shirt,1039.79,0.399,Discontinued
P200077,Smartphone Eco 077,Electronics,Smartphone,84117.01,0.146,Discontinued
P200078,Smartwatch Eco 078,Electronics,Smartwatch,3343.36,0.117,Discontinued
P200079,Smartphone Plus 079,Electronics,Smartphone,6514.09,0.201,Active
P200080,Headphones Eco 080,Electronics,Headphones,66915.27,0.125,Discontinued
P200081,Snacks Lite 081,Grocery,Snacks,1683.32,0.083,Active
P200082,Laptop Elite 082,Electronics,Laptop,71813.1,0.144,Active
P200083,Tablet Pro 083,Electronics,Tablet,8930.01,0.142,Active
P200084,Breakfast Lite 084,Grocery,Breakfast,1802.48,0.092,Active
P200085,Tablet Max 085,Electronics,Tablet,11243.38,0.117,Active
P200086,Snacks Max 086,Grocery,Snacks,2415.72,0.065,Active
P200087,Snacks Eco 087,Grocery,Snacks,1711.66,0.069,Active
P200088,Organic Staples Eco 088,Grocery,Organic Staples,2145.95,0.109,Active
P200089,Coffee Lite 089,Grocery,Coffee,1940.98,0.093,Discontinued
P200090,Puzzle Elite 090,Toys,Puzzle,3678.35,0.236,Discontinued
P200091,Beverages Elite 091,Grocery,Beverages,1833.98,0.121,Active
P200092,Smartwatch Pro 092,Electronics,Smartwatch,59558.11,0.187,Discontinued
P200093,Tablet Eco 093,Electronics,Tablet,31165.49,0.146,Active
P200094,Chair Max 094,Home & Kitchen,Chair,6438.18,0.211,Active
P200095,Smartwatch Plus 095,Electronics,Smartwatch,34700.98,0.155,Active
P200096,Dumbbells Plus 096,Sports,Dumbbells,5115.18,0.306,Discontinued
P200097,Children Max 097,Books,Children,1806.72,0.234,Active
P200098,Headphones Max 098,Electronics,Headphones,48808.95,0.192,Discontinued
P200099,Camera Eco 099,Electronics,Camera,4961.96,0.094,Active
P200100,Organic Staples Pro 100,Grocery,Organic Staples,540.25,0.107,Active
P200101,Sneakers Max 101,Fashion,Sneakers,1613.06,0.428,Active
P200102,Perfume Elite 102,Beauty,Perfume,4382.04,0.396,Active
P200103,Smartphone Plus 103,Electronics,Smartphone,7920.28,0.114,Active
P200104,Tablet Max 104,Electronics,Tablet,53046.92,0.208,Active
P200105,Chair Pro 105,Home & Kitchen,Chair,6510.45,0.366,Discontinued
P200106,Cookware Max 106,Home & Kitchen,Cookware,12415.66,0.285,Active
P200107,Sneakers Max 107,Fashion,Sneakers,1524.32,0.516,Active
P200108,Laptop Max 108,Electronics,Laptop,7768.25,0.13,Active
P200109,Smartphone Plus 109,Electronics,Smartphone,41790.86,0.212,Active
P200110,Puzzle Elite 110,Toys,Puzzle,6116.64,0.355,Active
P200111,Sunscreen Plus 111,Beauty,Sunscreen,1723.76,0.529,Active
P200112,Smartphone Eco 112,Electronics,Smartphone,67807.38,0.215,Active
P200113,Smartphone Eco 113,Electronics,Smartphone,49246.11,0.11,Active
P200114,Lamp Max 114,Home & Kitchen,Lamp,681.77,0.338,Active
P200115,T-Shirt Plus 115,Fashion,T-Shirt,5833.8,0.541,Active
P200116,Makeup Kit Pro 116,Beauty,Makeup Kit,3546.34,0.563,Active
P200117,T-Shirt Max 117,Fashion,T-Shirt,6572.66,0.361,Active
P200118,Beverages Plus 118,Grocery,Beverages,1779.71,0.068,Active
P200119,Tablet Elite 119,Electronics,Tablet,68551.67,0.21,Active
P200120,Storage Plus 120,Home & Kitchen,Storage,1839.03,0.289,Active
P200121,Coffee Elite 121,Grocery,Coffee,1590.84,0.15,Discontinued
P200122,Dress Pro 122,Fashion,Dress,1179.39,0.351,Active
P200123,Snacks Pro 123,Grocery,Snacks,362.49,0.157,Active
P200124,Cycle Accessories Pro 124,Sports,Cycle Accessories,5673.03,0.418,Discontinued
P200125,Mixer Plus 125,Home & Kitchen,Mixer,8381.04,0.2,Discontinued
P200126,Laptop Pro 126,Electronics,Laptop,36178.01,0.18,Active
P200127,Lamp Pro 127,Home & Kitchen,Lamp,4528.59,0.37,Discontinued
P200128,Mixer Max 128,Home & Kitchen,Mixer,13986.17,0.224,Active
P200129,Coffee Lite 129,Grocery,Coffee,427.21,0.095,Active
P200130,Smartwatch Elite 130,Electronics,Smartwatch,81206.84,0.205,Active
P200131,Dress Pro 131,Fashion,Dress,514.76,0.431,Active
P200132,Chair Lite 132,Home & Kitchen,Chair,790.19,0.401,Active
P200133,Hair Dryer Lite 133,Beauty,Hair Dryer,256.12,0.441,Active
P200134,Jeans Eco 134,Fashion,Jeans,1123.26,0.513,Discontinued
P200135,Hair Dryer Lite 135,Beauty,Hair Dryer,3681.54,0.59,Discontinued
P200136,Skincare Pro 136,Beauty,Skincare,3140.37,0.501,Active
P200137,Handbag Pro 137,Fashion,Handbag,1366.0,0.439,Active
P200138,Headphones Pro 138,Electronics,Headphones,76160.96,0.136,Discontinued
P200139,Cycle Accessories Elite 139,Sports,Cycle Accessories,11614.47,0.449,Discontinued
P200140,Camera Lite 140,Electronics,Camera,12997.83,0.104,Active
P200141,Coffee Max 141,Grocery,Coffee,2106.66,0.156,Active
P200142,Remote Car Lite 142,Toys,Remote Car,5399.08,0.328,Active
P200143,Camera Pro 143,Electronics,Camera,66003.39,0.182,Active
P200144,Smartwatch Plus 144,Electronics,Smartwatch,65526.73,0.123,Discontinued
P200145,Headphones Plus 145,Electronics,Headphones,21071.33,0.126,Active
P200146,Mixer Max 146,Home & Kitchen,Mixer,12281.77,0.317,Active
P200147,Breakfast Eco 147,Grocery,Breakfast,2087.45,0.089,Active
P200148,Smartwatch Pro 148,Electronics,Smartwatch,35659.09,0.173,Active
P200149,T-Shirt Plus 149,Fashion,T-Shirt,535.3,0.446,Active
P200150,Chair Pro 150,Home & Kitchen,Chair,2324.67,0.184,Active
P200151,Makeup Kit Pro 151,Beauty,Makeup Kit,436.57,0.445,Active
P200152,T-Shirt Elite 152,Fashion,T-Shirt,3994.67,0.359,Discontinued
P200153,Coffee Max 153,Grocery,Coffee,1200.9,0.073,Active
P200154,Handbag Elite 154,Fashion,Handbag,2548.65,0.431,Active
P200155,Handbag Elite 155,Fashion,Handbag,5869.53,0.494,Active
P200156,Cycle Accessories Pro 156,Sports,Cycle Accessories,8807.67,0.224,Active
P200157,Dress Elite 157,Fashion,Dress,2391.33,0.423,Active
P200158,Hair Dryer Plus 158,Beauty,Hair Dryer,526.54,0.543,Discontinued
P200159,Coffee Elite 159,Grocery,Coffee,1680.4,0.131,Active
P200160,Laptop Max 160,Electronics,Laptop,39874.88,0.167,Active
P200161,Jeans Elite 161,Fashion,Jeans,5335.22,0.483,Active
P200162,Handbag Lite 162,Fashion,Handbag,6526.74,0.364,Active
P200163,Cookware Eco 163,Home & Kitchen,Cookware,10333.83,0.416,Discontinued
P200164,Beverages Plus 164,Grocery,Beverages,1880.89,0.082,Active
P200165,Board Game Lite 165,Toys,Board Game,2918.36,0.252,Active
P200166,Dress Plus 166,Fashion,Dress,6735.41,0.419,Active
P200167,Jacket Elite 167,Fashion,Jacket,6665.13,0.468,Discontinued
P200168,Beverages Lite 168,Grocery,Beverages,514.84,0.07,Discontinued
P200169,Organic Staples Lite 169,Grocery,Organic Staples,1663.46,0.149,Discontinued
P200170,Jeans Elite 170,Fashion,Jeans,1048.13,0.35,Active
P200171,Jeans Pro 171,Fashion,Jeans,2983.36,0.43,Active
P200172,Smartwatch Eco 172,Electronics,Smartwatch,37587.18,0.16,Active
P200173,Cookware Lite 173,Home & Kitchen,Cookware,15890.54,0.373,Active
P200174,Coffee Elite 174,Grocery,Coffee,1024.12,0.18,Active
P200175,Children Lite 175,Books,Children,1336.3,0.127,Active
P200176,Remote Car Lite 176,Toys,Remote Car,2475.14,0.252,Active
P200177,Remote Car Pro 177,Toys,Remote Car,2917.63,0.269,Discontinued
P200178,Coffee Eco 178,Grocery,Coffee,1305.11,0.092,Active
P200179,Remote Car Eco 179,Toys,Remote Car,4113.23,0.269,Active
P200180,Coffee Eco 180,Grocery,Coffee,556.24,0.061,Active
P200181,Tablet Max 181,Electronics,Tablet,21328.41,0.084,Active
P200182,Backpack Elite 182,Sports,Backpack,3658.06,0.252,Discontinued
P200183,Storage Eco 183,Home & Kitchen,Storage,15661.2,0.184,Active
P200184,T-Shirt Eco 184,Fashion,T-Shirt,3753.61,0.297,Active
P200185,Cycle Accessories Elite 185,Sports,Cycle Accessories,6259.54,0.279,Active
P200186,Makeup Kit Lite 186,Beauty,Makeup Kit,416.72,0.402,Active
P200187,Mixer Eco 187,Home & Kitchen,Mixer,7844.89,0.23,Active
P200188,Jacket Lite 188,Fashion,Jacket,2191.02,0.486,Active
P200189,Handbag Eco 189,Fashion,Handbag,4151.65,0.441,Active
P200190,Sneakers Lite 190,Fashion,Sneakers,4520.26,0.428,Discontinued
P200191,Fiction Eco 191,Books,Fiction,1314.86,0.174,Discontinued
P200192,Smartphone Elite 192,Electronics,Smartphone,42581.19,0.106,Active
P200193,Tablet Plus 193,Electronics,Tablet,62779.5,0.165,Active
P200194,Smartphone Plus 194,Electronics,Smartphone,34658.66,0.15,Discontinued
P200195,Storage Plus 195,Home & Kitchen,Storage,17732.47,0.381,Active
P200196,Chair Elite 196,Home & Kitchen,Chair,1734.8,0.292,Active
P200197,Jacket Elite 197,Fashion,Jacket,879.19,0.362,Active
P200198,T-Shirt Elite 198,Fashion,T-Shirt,4683.88,0.442,Active
P200199,STEM Kit Plus 199,Toys,STEM Kit,3808.57,0.271,Discontinued
P200200,Smartphone Eco 200,Electronics,Smartphone,74203.52,0.096,Discontinued
P200201,Cookware Eco 201,Home & Kitchen,Cookware,2331.97,0.338,Active
P200202,Headphones Elite 202,Electronics,Headphones,50215.04,0.14,Discontinued
P200203,Camera Elite 203,Electronics,Camera,19708.97,0.183,Discontinued
P200204,Headphones Max 204,Electronics,Headphones,36682.39,0.08,Discontinued
P200205,Remote Car Eco 205,Toys,Remote Car,1005.87,0.245,Active
P200206,Bedsheet Elite 206,Home & Kitchen,Bedsheet,6560.99,0.354,Active
P200207,Cookware Eco 207,Home & Kitchen,Cookware,8487.73,0.311,Active
P200208,T-Shirt Elite 208,Fashion,T-Shirt,3621.15,0.514,Active
P200209,Smartphone Lite 209,Electronics,Smartphone,9340.69,0.141,Active
P200210,Perfume Max 210,Beauty,Perfume,2599.15,0.348,Active
P200211,Headphones Pro 211,Electronics,Headphones,61408.72,0.147,Active
P200212,Dumbbells Elite 212,Sports,Dumbbells,11299.77,0.212,Active
P200213,Cycle Accessories Elite 213,Sports,Cycle Accessories,12791.58,0.397,Discontinued
P200214,Coffee Elite 214,Grocery,Coffee,119.7,0.171,Discontinued
P200215,Storage Plus 215,Home & Kitchen,Storage,7730.64,0.255,Active
P200216,Tablet Max 216,Electronics,Tablet,21907.06,0.081,Active
P200217,Handbag Elite 217,Fashion,Handbag,6074.24,0.404,Active
P200218,Tablet Elite 218,Electronics,Tablet,44596.51,0.186,Active
P200219,Smartphone Eco 219,Electronics,Smartphone,36750.29,0.204,Discontinued
P200220,Dumbbells Eco 220,Sports,Dumbbells,10531.16,0.25,Active
P200221,Dress Pro 221,Fashion,Dress,6631.51,0.375,Discontinued
P200222,Cycle Accessories Eco 222,Sports,Cycle Accessories,474.25,0.304,Active
P200223,Sneakers Pro 223,Fashion,Sneakers,5137.01,0.324,Active
P200224,Tablet Lite 224,Electronics,Tablet,43225.79,0.189,Discontinued
P200225,Storage Eco 225,Home & Kitchen,Storage,15249.21,0.409,Active
P200226,Bedsheet Plus 226,Home & Kitchen,Bedsheet,13309.84,0.207,Active
P200227,Organic Staples Max 227,Grocery,Organic Staples,318.0,0.105,Active
P200228,Laptop Eco 228,Electronics,Laptop,32633.91,0.094,Discontinued
P200229,Fiction Lite 229,Books,Fiction,785.55,0.258,Discontinued
P200230,T-Shirt Max 230,Fashion,T-Shirt,3290.11,0.434,Discontinued
P200231,Board Game Plus 231,Toys,Board Game,6744.11,0.382,Active
P200232,Business Pro 232,Books,Business,1831.12,0.235,Discontinued
P200233,Lamp Eco 233,Home & Kitchen,Lamp,4608.94,0.21,Active
P200234,Jacket Eco 234,Fashion,Jacket,6777.54,0.399,Active
P200235,Camera Elite 235,Electronics,Camera,74042.44,0.145,Discontinued
P200236,Exam Prep Eco 236,Books,Exam Prep,1093.04,0.257,Discontinued
P200237,Coffee Elite 237,Grocery,Coffee,1303.65,0.094,Active
P200238,Mixer Plus 238,Home & Kitchen,Mixer,3842.05,0.227,Active
P200239,Headphones Lite 239,Electronics,Headphones,64799.9,0.193,Active
P200240,Sunscreen Elite 240,Beauty,Sunscreen,4656.66,0.527,Active
P200241,Cookware Lite 241,Home & Kitchen,Cookware,461.34,0.387,Discontinued
P200242,Lamp Lite 242,Home & Kitchen,Lamp,11876.42,0.324,Active
P200243,Mixer Pro 243,Home & Kitchen,Mixer,3608.26,0.271,Active
P200244,Lamp Elite 244,Home & Kitchen,Lamp,14045.59,0.318,Active
P200245,Perfume Lite 245,Beauty,Perfume,3447.43,0.397,Active
P200246,Mixer Eco 246,Home & Kitchen,Mixer,15238.94,0.25,Active
P200247,Smartphone Max 247,Electronics,Smartphone,38426.23,0.169,Active
P200248,Tablet Elite 248,Electronics,Tablet,31933.31,0.119,Discontinued
P200249,Cycle Accessories Elite 249,Sports,Cycle Accessories,7021.45,0.368,Active
P200250,Storage Plus 250,Home & Kitchen,Storage,9266.07,0.285,Active
P200251,Fiction Elite 251,Books,Fiction,871.65,0.159,Active
P200252,Bedsheet Lite 252,Home & Kitchen,Bedsheet,17391.45,0.236,Active
P200253,Sneakers Plus 253,Fashion,Sneakers,2930.98,0.499,Active
P200254,Perfume Max 254,Beauty,Perfume,4983.71,0.568,Discontinued
P200255,Mixer Pro 255,Home & Kitchen,Mixer,3499.0,0.311,Discontinued
P200256,Jacket Max 256,Fashion,Jacket,5727.68,0.43,Active
P200257,Smartwatch Plus 257,Electronics,Smartwatch,43558.94,0.088,Active
P200258,Sneakers Lite 258,Fashion,Sneakers,558.35,0.314,Active
P200259,Skincare Pro 259,Beauty,Skincare,2919.67,0.352,Active
P200260,Handbag Pro 260,Fashion,Handbag,5216.85,0.43,Active
P200261,Headphones Pro 261,Electronics,Headphones,32904.89,0.115,Discontinued
P200262,Bedsheet Max 262,Home & Kitchen,Bedsheet,6410.93,0.227,Active
P200263,Camera Pro 263,Electronics,Camera,7008.17,0.192,Active
P200264,Sunscreen Elite 264,Beauty,Sunscreen,1871.55,0.494,Active
P200265,Tablet Pro 265,Electronics,Tablet,61006.29,0.105,Active
P200266,Camera Eco 266,Electronics,Camera,41986.23,0.101,Active
P200267,T-Shirt Max 267,Fashion,T-Shirt,2703.97,0.294,Discontinued
P200268,Handbag Elite 268,Fashion,Handbag,5412.03,0.475,Active
P200269,Tablet Max 269,Electronics,Tablet,74695.42,0.184,Active
P200270,Storage Lite 270,Home & Kitchen,Storage,5429.7,0.312,Active
P200271,Fiction Pro 271,Books,Fiction,1564.68,0.237,Active
P200272,Perfume Elite 272,Beauty,Perfume,3262.92,0.349,Active
P200273,Tablet Eco 273,Electronics,Tablet,42468.83,0.211,Active
P200274,Fiction Pro 274,Books,Fiction,260.24,0.124,Active
P200275,Cookware Elite 275,Home & Kitchen,Cookware,7087.94,0.322,Active
P200276,Tablet Plus 276,Electronics,Tablet,13272.94,0.172,Discontinued
P200277,Shoes Max 277,Sports,Shoes,8494.1,0.228,Active
P200278,Storage Eco 278,Home & Kitchen,Storage,4122.46,0.182,Active
P200279,T-Shirt Eco 279,Fashion,T-Shirt,5971.78,0.483,Active
P200280,Smartwatch Max 280,Electronics,Smartwatch,10107.88,0.14,Discontinued
P200281,Snacks Pro 281,Grocery,Snacks,766.61,0.097,Active
P200282,Camera Eco 282,Electronics,Camera,61022.81,0.104,Active
P200283,Hair Dryer Eco 283,Beauty,Hair Dryer,3909.54,0.324,Discontinued
P200284,Smartphone Pro 284,Electronics,Smartphone,41464.03,0.212,Active
P200285,Snacks Max 285,Grocery,Snacks,2291.31,0.169,Active
P200286,Dress Elite 286,Fashion,Dress,5293.81,0.44,Active
P200287,Hair Dryer Plus 287,Beauty,Hair Dryer,3082.52,0.549,Discontinued
P200288,Handbag Pro 288,Fashion,Handbag,3927.65,0.521,Active
P200289,Jeans Elite 289,Fashion,Jeans,3928.3,0.535,Active
P200290,Lamp Elite 290,Home & Kitchen,Lamp,16305.59,0.346,Active
P200291,Storage Elite 291,Home & Kitchen,Storage,16880.41,0.192,Active
P200292,Camera Eco 292,Electronics,Camera,54374.28,0.171,Active
P200293,Jeans Eco 293,Fashion,Jeans,3116.02,0.39,Active
P200294,Headphones Pro 294,Electronics,Headphones,17881.56,0.098,Discontinued
P200295,Business Lite 295,Books,Business,1593.71,0.269,Discontinued
P200296,Dress Max 296,Fashion,Dress,6009.68,0.445,Discontinued
P200297,Dress Elite 297,Fashion,Dress,6576.27,0.507,Active
P200298,Self Help Eco 298,Books,Self Help,1901.27,0.261,Active
P200299,Jeans Max 299,Fashion,Jeans,4869.44,0.395,Active
P200300,Handbag Max 300,Fashion,Handbag,1421.78,0.394,Discontinued
P200301,Lamp Plus 301,Home & Kitchen,Lamp,522.41,0.227,Discontinued
P200302,Dress Lite 302,Fashion,Dress,5901.76,0.376,Discontinued
P200303,Headphones Lite 303,Electronics,Headphones,76058.83,0.112,Active
P200304,Jacket Plus 304,Fashion,Jacket,960.77,0.418,Active
P200305,Organic Staples Elite 305,Grocery,Organic Staples,2058.51,0.164,Active
P200306,Jeans Lite 306,Fashion,Jeans,4720.79,0.285,Active
P200307,Storage Max 307,Home & Kitchen,Storage,17745.88,0.413,Active
P200308,Dress Max 308,Fashion,Dress,3147.12,0.36,Active
P200309,Makeup Kit Lite 309,Beauty,Makeup Kit,4895.76,0.316,Discontinued
P200310,Cycle Accessories Max 310,Sports,Cycle Accessories,4787.37,0.25,Active
P200311,Snacks Eco 311,Grocery,Snacks,666.92,0.138,Active
P200312,Board Game Eco 312,Toys,Board Game,1085.32,0.357,Active
P200313,Laptop Eco 313,Electronics,Laptop,43400.47,0.114,Active
P200314,Snacks Plus 314,Grocery,Snacks,2103.48,0.164,Active
P200315,Cookware Eco 315,Home & Kitchen,Cookware,12783.27,0.295,Active
P200316,Lamp Eco 316,Home & Kitchen,Lamp,17132.02,0.194,Active
P200317,Shoes Eco 317,Sports,Shoes,7111.24,0.394,Discontinued
P200318,Skincare Pro 318,Beauty,Skincare,226.48,0.551,Active
P200319,Smartphone Plus 319,Electronics,Smartphone,68280.12,0.174,Active
P200320,Tablet Plus 320,Electronics,Tablet,28216.2,0.142,Active
P200321,Smartwatch Eco 321,Electronics,Smartwatch,57205.13,0.099,Active
P200322,Children Pro 322,Books,Children,1424.25,0.129,Active
P200323,Perfume Pro 323,Beauty,Perfume,819.26,0.383,Active
P200324,Shoes Plus 324,Sports,Shoes,12510.0,0.226,Active
P200325,Lamp Elite 325,Home & Kitchen,Lamp,10146.78,0.336,Active
P200326,Smartphone Eco 326,Electronics,Smartphone,64168.51,0.162,Active
P200327,Mixer Plus 327,Home & Kitchen,Mixer,845.52,0.4,Active
P200328,Fiction Elite 328,Books,Fiction,770.01,0.203,Active
P200329,Lamp Pro 329,Home & Kitchen,Lamp,6900.97,0.224,Active
P200330,Camera Eco 330,Electronics,Camera,14299.54,0.153,Discontinued
P200331,Cookware Eco 331,Home & Kitchen,Cookware,13815.46,0.211,Active
P200332,Lamp Max 332,Home & Kitchen,Lamp,16937.03,0.319,Active
P200333,Camera Plus 333,Electronics,Camera,61059.59,0.179,Active
P200334,Headphones Plus 334,Electronics,Headphones,15437.9,0.081,Active
P200335,Perfume Eco 335,Beauty,Perfume,2873.14,0.582,Active
P200336,Exam Prep Eco 336,Books,Exam Prep,293.49,0.183,Active
P200337,Breakfast Elite 337,Grocery,Breakfast,2396.67,0.158,Discontinued
P200338,Smartwatch Pro 338,Electronics,Smartwatch,40573.78,0.141,Discontinued
P200339,Cookware Lite 339,Home & Kitchen,Cookware,2262.96,0.296,Discontinued
P200340,Cookware Max 340,Home & Kitchen,Cookware,17654.29,0.394,Active
P200341,Fiction Pro 341,Books,Fiction,623.71,0.293,Discontinued
P200342,Shoes Lite 342,Sports,Shoes,6065.15,0.36,Active
P200343,Handbag Elite 343,Fashion,Handbag,3960.25,0.451,Active
P200344,Sneakers Pro 344,Fashion,Sneakers,945.89,0.378,Active
P200345,Skincare Plus 345,Beauty,Skincare,3244.9,0.516,Active
P200346,Doll Max 346,Toys,Doll,3772.69,0.288,Active
P200347,Jeans Plus 347,Fashion,Jeans,3293.45,0.491,Discontinued
P200348,Perfume Eco 348,Beauty,Perfume,1661.26,0.502,Active
P200349,Children Max 349,Books,Children,497.18,0.286,Active
P200350,T-Shirt Max 350,Fashion,T-Shirt,6963.17,0.411,Active
P200351,Mixer Elite 351,Home & Kitchen,Mixer,2181.09,0.28,Active
P200352,Smartwatch Plus 352,Electronics,Smartwatch,56698.99,0.097,Active
P200353,Cycle Accessories Eco 353,Sports,Cycle Accessories,10659.43,0.428,Active
P200354,Backpack Elite 354,Sports,Backpack,11062.48,0.427,Active
P200355,Skincare Elite 355,Beauty,Skincare,856.41,0.538,Active
P200356,Jeans Eco 356,Fashion,Jeans,2878.1,0.318,Active
P200357,Lamp Pro 357,Home & Kitchen,Lamp,9746.29,0.287,Active
P200358,Sunscreen Elite 358,Beauty,Sunscreen,4181.08,0.3,Discontinued
P200359,Bedsheet Elite 359,Home & Kitchen,Bedsheet,16003.63,0.195,Active
P200360,Lamp Lite 360,Home & Kitchen,Lamp,2787.46,0.191,Active
P200361,Laptop Elite 361,Electronics,Laptop,72561.19,0.2,Active
P200362,T-Shirt Pro 362,Fashion,T-Shirt,2240.36,0.364,Active
P200363,Chair Lite 363,Home & Kitchen,Chair,17329.37,0.257,Active
P200364,Self Help Max 364,Books,Self Help,643.24,0.2,Active
P200365,Smartwatch Pro 365,Electronics,Smartwatch,71238.05,0.131,Active
