order_id,order_date,customer_id,product_id,seller_id,quantity,discount_pct,campaign,shipping_mode,order_status,gross_sales,discount_amount,net_sales,cost_amount,refund_amount,profit,promised_delivery_date,actual_delivery_date,shipping_delay_flag,fulfillment_days
O500013,2024-11-03 17:53:00,C109668,P200041,S3107,1,0.15,None,Standard,Delivered,69383.55,10407.53,58976.02,52606.61,0.0,6369.41,2024-11-09,2024-11-10,1,7
O500014,2025-05-20 23:43:00,C101873,P200026,S3114,1,0.08,Big Billion Days,Standard,Delivered,9625.54,770.04,8855.5,7571.45,0.0,1284.05,2025-05-26,2025-05-25,0,5
O500015,2025-10-20 09:21:00,C110163,P200460,S3052,2,0.25,None,Standard,Returned,8947.1,2236.78,6710.32,5482.33,5795.88,-220.98,2025-10-26,2025-10-25,0,5
O500016,2025-05-25 13:34:00,C104033,P200412,S3023,2,0.05,None,Standard,Delivered,1640.16,82.01,1558.15,1329.1,0.0,229.05,2025-05-31,2025-05-30,0,5
O500017,2023-08-30 20:17:00,C106198,P200181,S3079,1,0.32999999999999996,Summer Sale,Express,Returned,21328.41,7038.38,14290.03,13089.67,10883.87,-1520.61,2023-09-02,2023-09-01,0,2
O500018,2023-03-14 07:57:00,C104522,P200157,S3031,1,0.22,Diwali Fest,Standard,Delivered,2391.33,526.09,1865.24,1076.24,0.0,789.0,2023-03-20,2023-03-19,0,5
O500019,2023-08-12 14:01:00,C101055,P200041,S3042,1,0.03,Summer Sale,Standard,Delivered,69383.55,2081.51,67302.04,60033.42,0.0,7268.62,2023-08-18,2023-08-19,1,7
O500020,2025-09-25 04:36:00,C110598,P200600,S3090,5,0.08,Big Billion Days,Express,Delivered,32099.35,2567.95,29531.4,17866.5,0.0,11664.9,2025-09-28,2025-09-27,0,2
O500021,2023-05-01 19:57:00,C105040,P200275,S3033,1,0.28,Big Billion Days,Standard,Delivered,7087.94,1984.62,5103.32,3460.05,0.0,1643.27,2023-05-07,2023-05-08,1,7
O500022,2024-09-30 03:25:00,C102483,P200410,S3074,1,0.07,Diwali Fest,Standard,Delivered,62748.54,4392.4,58356.14,50769.84,0.0,7586.3,2024-10-06,2024-10-06,0,6
O500023,2025-04-12 19:07:00,C109597,P200157,S3079,2,0.0,None,Same Day,Delivered,4782.66,0.0,4782.66,2759.59,0.0,2023.07,2025-04-13,2025-04-15,1,3
O500024,2023-12-30 22:26:00,C103744,P200419,S3012,2,0.32,Diwali Fest,Standard,Returned,71797.5,22975.2,48822.3,43158.91,41590.24,-4734.17,2024-01-05,2024-01-07,1,8
O500025,2025-11-26 08:52:00,C108043,P200417,S3080,1,0.07,Diwali Fest,Standard,Returned,7840.2,548.81,7291.39,4622.74,5709.99,1241.15,2025-12-02,2025-12-05,1,9
O500026,2023-06-20 11:09:00,C103171,P200328,S3071,5,0.18,Summer Sale,Standard,Delivered,3850.05,693.01,3157.04,2516.16,0.0,640.88,2023-06-26,2023-06-25,0,5
O500027,2023-08-15 11:19:00,C104309,P200600,S3094,2,0.08,Big Billion Days,Standard,Delivered,12839.74,1027.18,11812.56,7146.6,0.0,4665.96,2023-08-21,2023-08-20,0,5
O500028,2024-12-29 19:27:00,C107061,P200600,S3055,2,0.07,Diwali Fest,Express,Delivered,12839.74,898.78,11940.96,7224.28,0.0,4716.68,2025-01-01,2024-12-31,0,2
O500029,2024-05-22 05:01:00,C105959,P200446,S3067,1,0.2,None,Standard,Delivered,11420.37,2284.07,9136.3,5737.6,0.0,3398.7,2024-05-28,2024-05-30,1,8
O500030,2025-09-18 01:05:00,C100638,P200033,S3074,1,0.02,Republic Day,Express,Delivered,2685.22,53.7,2631.52,1765.75,0.0,865.77,2025-09-21,2025-09-21,0,3
O500031,2025-11-06 09:34:00,C103640,P200600,S3030,1,0.0,None,Standard,Delivered,6419.87,0.0,6419.87,3884.02,0.0,2535.85,2025-11-12,2025-11-13,1,7
O500032,2023-11-06 05:50:00,C105941,P200157,S3040,1,0.28,Big Billion Days,Standard,Delivered,2391.33,669.57,1721.76,993.46,0.0,728.3,2023-11-12,2023-11-11,0,5
O500033,2023-04-13 09:22:00,C105552,P200596,S3044,1,0.15,None,Express,Delivered,428.5,64.27,364.23,299.76,0.0,64.47,2023-04-16,2023-04-15,0,2
O500034,2023-10-09 14:08:00,C104591,P200033,S3072,2,0.1,None,Express,Delivered,5370.44,537.04,4833.4,3243.21,0.0,1590.19,2023-10-12,2023-10-12,0,3
O500035,2023-12-26 23:58:00,C106771,P200464,S3101,1,0.03,Summer Sale,Standard,Delivered,12810.27,384.31,12425.96,9592.84,0.0,2833.12,2024-01-01,2023-12-31,0,5
O500036,2024-12-03 08:10:00,C101183,P200197,S3016,2,0.03,Summer Sale,Standard,Delivered,1758.38,52.75,1705.63,1088.19,0.0,617.44,2024-12-09,2024-12-08,0,5
O500037,2024-04-03 11:58:00,C106198,P200352,S3083,2,0.0,None,Standard,Delivered,113397.98,0.0,113397.98,102398.38,0.0,10999.6,2024-04-09,2024-04-08,0,5
O500038,2023-09-24 18:14:00,C104463,P200160,S3106,2,0.4,None,Standard,Delivered,79749.76,31899.9,47849.86,39858.93,0.0,7990.93,2023-09-30,2023-09-30,0,6
O500039,2025-11-22 12:41:00,C110825,P200600,S3095,1,0.3,None,Standard,Delivered,6419.87,1925.96,4493.91,2718.82,0.0,1775.09,2025-11-28,2025-11-29,1,7
O500040,2023-06-16 23:57:00,C108404,P200351,S3042,2,0.2,None,Standard,Delivered,4362.18,872.44,3489.74,2512.61,0.0,977.13,2023-06-22,2023-06-22,0,6
O500041,2024-02-19 13:03:00,C101214,P200216,S3009,1,0.175,Monsoon Mania,Standard,Delivered,21907.06,3833.74,18073.32,16609.38,0.0,1463.94,2024-02-25,2024-02-24,0,5
O500042,2023-09-14 11:09:00,C105753,P200515,S3079,1,0.1,None,Same Day,Delivered,57156.33,5715.63,51440.7,45679.34,0.0,5761.36,2023-09-15,2023-09-16,1,2
O500043,2023-10-18 02:09:00,C106581,P200239,S3104,2,0.27,Diwali Fest,Express,Delivered,129599.8,34991.95,94607.85,76348.53,0.0,18259.32,2023-10-21,2023-10-21,0,3
O500044,2024-05-31 22:49:00,C109592,P200382,S3042,2,0.08,Big Billion Days,Standard,Delivered,5702.3,456.18,5246.12,2649.29,0.0,2596.83,2024-06-06,2024-06-06,0,6
O500045,2023-11-25 22:52:00,C101513,P200041,S3066,1,0.15,None,Express,Delivered,69383.55,10407.53,58976.02,52606.61,0.0,6369.41,2023-11-28,2023-11-28,0,3
O500046,2025-10-16 02:39:00,C106198,P200364,S3015,1,0.43000000000000005,Summer Sale,Express,Delivered,643.24,276.59,366.65,293.32,0.0,73.33,2025-10-19,2025-10-20,1,4
O500047,2023-05-08 14:16:00,C108399,P200600,S3050,2,0.18,Big Billion Days,Same Day,Returned,12839.74,2311.15,10528.59,6369.8,9560.91,1768.56,2023-05-09,2023-05-12,1,4
O500048,2024-09-05 06:03:00,C106495,P200047,S3027,1,0.0,None,Standard,Delivered,15043.49,0.0,15043.49,9161.49,0.0,5882.0,2024-09-11,2024-09-10,0,5
O500049,2025-10-01 22:59:00,C103904,P200188,S3106,1,0.0,None,Express,Delivered,2191.02,0.0,2191.02,1126.18,0.0,1064.84,2025-10-04,2025-10-03,0,2
O500050,2023-06-15 20:26:00,C103662,P200600,S3103,1,0.1,None,Standard,Delivered,6419.87,641.99,5777.88,3495.62,0.0,2282.26,2023-06-21,2023-06-22,1,7
O500051,2023-03-27 10:20:00,C111303,P200138,S3040,2,0.08,Big Billion Days,Express,Returned,152321.92,12185.75,140136.17,121077.65,138307.59,-15518.38,2023-03-30,2023-03-29,0,2
O500052,2023-06-15 10:02:00,C105536,P200464,S3082,1,0.08,Big Billion Days,Express,Delivered,12810.27,1024.82,11785.45,9098.37,0.0,2687.08,2023-06-18,2023-06-17,0,2
O500053,2023-04-13 12:24:00,C105804,P200600,S3106,2,0.0,None,Standard,Delivered,12839.74,0.0,12839.74,7768.04,0.0,5071.7,2023-04-19,2023-04-18,0,5
O500054,2023-09-22 03:41:00,C109509,P200460,S3070,2,0.13,Summer Sale,Standard,Delivered,8947.1,1163.12,7783.98,6359.51,0.0,1424.47,2023-09-28,2023-09-30,1,8
O500055,2023-10-12 17:40:00,C105907,P200239,S3070,1,0.15,None,Standard,Delivered,64799.9,9719.98,55079.92,44449.5,0.0,10630.42,2023-10-18,2023-10-19,1,7
O500056,2024-12-12 13:00:00,C109281,P200600,S3116,1,0.33,Big Billion Days,Express,Delivered,6419.87,2118.56,4301.31,2602.29,0.0,1699.02,2024-12-15,2024-12-15,0,3
O500057,2023-01-25 03:39:00,C106198,P200282,S3070,1,0.05,None,Express,Delivered,61022.81,3051.14,57971.67,51942.62,0.0,6029.05,2023-01-28,2023-01-27,0,2
O500058,2023-08-15 11:00:00,C107441,P200600,S3015,4,0.18,Summer Sale,Standard,Returned,25679.48,4622.31,21057.17,12739.59,19836.32,3358.5,2023-08-21,2023-08-20,0,5
O500059,2023-03-23 06:18:00,C103550,P200178,S3054,1,0.08,Big Billion Days,Standard,Returned,1305.11,104.41,1200.7,1090.24,1014.65,-143.2,2023-03-29,2023-03-28,0,5
O500060,2024-10-01 16:36:00,C102007,P200600,S3011,1,0.4,None,Standard,Delivered,6419.87,2567.95,3851.92,2330.41,0.0,1521.51,2024-10-07,2024-10-09,1,8
O500061,2024-06-21 02:16:00,C100507,P200600,S3058,1,0.2,None,Express,Delivered,6419.87,1283.97,5135.9,3107.22,0.0,2028.68,2024-06-24,2024-06-24,0,3
O500062,2023-04-23 13:51:00,C102693,P200490,S3047,1,0.28,Big Billion Days,Standard,Returned,34453.51,9646.98,24806.53,22747.59,22389.29,-3538.38,2023-04-29,2023-04-29,0,6
O500063,2025-05-09 04:41:00,C101770,P200419,S3063,1,0.0,None,Express,Delivered,35898.75,0.0,35898.75,31734.5,0.0,4164.25,2025-05-12,2025-05-12,0,3
O500064,2023-04-01 21:43:00,C103023,P200239,S3087,1,0.0,None,Standard,Delivered,64799.9,0.0,64799.9,52293.52,0.0,12506.38,2023-04-07,2023-04-07,0,6
O500065,2025-05-13 17:19:00,C100244,P200600,S3065,1,0.13,Big Billion Days,Standard,Delivered,6419.87,834.58,5585.29,3379.1,0.0,2206.19,2025-05-19,2025-05-19,0,6
O500066,2024-12-15 00:02:00,C104580,P200464,S3035,1,0.28,Big Billion Days,Standard,Delivered,12810.27,3586.88,9223.39,7120.46,0.0,2102.93,2024-12-21,2024-12-21,0,6
O500067,2024-11-12 12:33:00,C106949,P200464,S3111,1,0.025,Monsoon Mania,Same Day,Delivered,12810.27,320.26,12490.01,9642.29,0.0,2847.72,2024-11-13,2024-11-14,1,2
O500068,2023-08-19 12:55:00,C107623,P200600,S3102,1,0.03,Summer Sale,Standard,Delivered,6419.87,192.6,6227.27,3767.5,0.0,2459.77,2023-08-25,2023-08-26,1,7
O500069,2024-05-27 18:02:00,C109720,P200443,S3065,2,0.22,Diwali Fest,Standard,Delivered,9959.82,2191.16,7768.66,4257.23,0.0,3511.43,2024-06-02,2024-06-02,0,6
O500070,2023-10-24 06:45:00,C107958,P200600,S3021,2,0.07,Republic Day,Standard,Delivered,12839.74,898.78,11940.96,7224.28,0.0,4716.68,2023-10-30,2023-10-29,0,5
O500071,2023-01-28 16:52:00,C103755,P200634,S3038,2,0.25,None,Standard,Delivered,2708.78,677.2,2031.58,1283.96,0.0,747.62,2023-02-03,2023-02-04,1,7
O500072,2024-07-09 16:33:00,C106582,P200600,S3078,2,0.07,Diwali Fest,Standard,Delivered,12839.74,898.78,11940.96,7224.28,0.0,4716.68,2024-07-15,2024-07-14,0,5
O500073,2024-08-17 00:58:00,C104996,P200094,S3021,1,0.2,None,Express,Delivered,6438.18,1287.64,5150.54,4063.78,0.0,1086.76,2024-08-20,2024-08-19,0,2
O500074,2024-06-03 05:12:00,C108408,P200033,S3022,1,0.12000000000000001,Republic Day,Standard,Delivered,2685.22,322.23,2362.99,1585.57,0.0,777.42,2024-06-09,2024-06-08,0,5
O500075,2023-02-12 21:39:00,C104955,P200033,S3061,3,0.04,Year End,Same Day,Delivered,8055.66,322.23,7733.43,5189.13,0.0,2544.3,2023-02-13,2023-02-13,0,1
O500076,2024-05-19 21:21:00,C109340,P200613,S3081,2,0.1,None,Standard,Delivered,4585.18,458.52,4126.66,3425.13,0.0,701.53,2024-05-25,2024-05-25,0,6
O500077,2023-11-19 15:06:00,C105105,P200154,S3109,1,0.07,Republic Day,Same Day,Delivered,2548.65,178.41,2370.24,1348.67,0.0,1021.57,2023-11-20,2023-11-23,1,4
O500078,2023-12-08 23:18:00,C103065,P200600,S3001,1,0.0,None,Standard,Delivered,6419.87,0.0,6419.87,3884.02,0.0,2535.85,2023-12-14,2023-12-16,1,8
O500079,2023-11-13 15:51:00,C102516,P200600,S3038,1,0.17,Diwali Fest,Standard,Delivered,6419.87,1091.38,5328.49,3223.74,0.0,2104.75,2023-11-19,2023-11-19,0,6
O500080,2024-07-26 06:53:00,C103210,P200041,S3005,1,0.2,None,Standard,Delivered,69383.55,13876.71,55506.84,49512.1,0.0,5994.74,2024-08-01,2024-08-01,0,6
O500081,2025-10-08 12:20:00,C109171,P200070,S3078,2,0.02,Republic Day,Standard,Delivered,110909.84,2218.2,108691.64,86409.85,0.0,22281.79,2025-10-14,2025-10-13,0,5
O500082,2024-12-28 01:56:00,C105505,P200276,S3108,1,0.02,Republic Day,Standard,Delivered,13272.94,265.46,13007.48,10770.19,0.0,2237.29,2025-01-03,2025-01-03,0,6
O500083,2024-10-15 05:09:00,C107591,P200511,S3003,1,0.0,None,Standard,Delivered,746.9,0.0,746.9,444.41,0.0,302.49,2024-10-21,2024-10-21,0,6
O500084,2023-11-03 14:25:00,C111528,P200101,S3074,3,0.05,None,Same Day,Delivered,4839.18,241.96,4597.22,2629.61,0.0,1967.61,2023-11-04,2023-11-05,1,2
O500085,2024-12-16 21:33:00,C103273,P200431,S3059,1,0.0,None,Standard,Delivered,6766.64,0.0,6766.64,4831.38,0.0,1935.26,2024-12-22,2024-12-21,0,5
O500086,2024-11-22 16:03:00,C102988,P200410,S3002,3,0.0,None,Standard,Delivered,188245.62,0.0,188245.62,163773.69,0.0,24471.93,2024-11-28,2024-11-28,0,6
O500087,2025-06-23 21:44:00,C102885,P200613,S3006,1,0.28,Big Billion Days,Standard,Delivered,2292.59,641.93,1650.66,1370.05,0.0,280.61,2025-06-29,2025-06-28,0,5
O500088,2023-07-07 23:55:00,C103413,P200364,S3008,1,0.225,Monsoon Mania,Standard,Delivered,643.24,144.73,498.51,398.81,0.0,99.7,2023-07-13,2023-07-12,0,5
O500089,2024-09-12 22:19:00,C100318,P200555,S3049,1,0.03,Summer Sale,Express,Delivered,3494.51,104.84,3389.67,3047.31,0.0,342.36,2024-09-15,2024-09-16,1,4
O500090,2025-07-23 21:04:00,C107992,P200197,S3011,1,0.33,Big Billion Days,Same Day,Delivered,879.19,290.13,589.06,375.82,0.0,213.24,2025-07-24,2025-07-24,0,1
O500091,2024-10-30 23:51:00,C105621,P200092,S3036,1,0.0,None,Express,Delivered,59558.11,0.0,59558.11,48420.74,0.0,11137.37,2024-11-02,2024-11-01,0,2
O500092,2023-11-12 21:44:00,C102189,P200160,S3113,1,0.1,None,Standard,Delivered,39874.88,3987.49,35887.39,29894.2,0.0,5993.19,2023-11-18,2023-11-17,0,5
O500093,2025-08-30 08:23:00,C100499,P200108,S3021,3,0.16999999999999998,Republic Day,Standard,Delivered,23304.75,3961.81,19342.94,16828.36,0.0,2514.58,2025-09-05,2025-09-06,1,7
O500094,2023-01-23 15:16:00,C107302,P200012,S3116,1,0.28,Big Billion Days,Express,Delivered,9310.44,2606.92,6703.52,4162.89,0.0,2540.63,2023-01-26,2023-01-27,1,4
O500095,2024-01-22 13:24:00,C102169,P200024,S3007,1,0.0,None,Standard,Delivered,37515.98,0.0,37515.98,31663.49,0.0,5852.49,2024-01-28,2024-01-28,0,6
O500096,2025-02-28 03:43:00,C109646,P200007,S3092,1,0.12000000000000001,Diwali Fest,Express,Delivered,83005.95,9960.71,73045.24,62818.91,0.0,10226.33,2025-03-03,2025-03-02,0,2
O500097,2025-10-21 17:34:00,C105759,P200219,S3065,2,0.1,None,Standard,Returned,73500.58,7350.06,66150.52,52655.81,50531.38,861.87,2025-10-27,2025-10-26,0,5
O500098,2025-12-14 14:45:00,C110061,P200033,S3118,1,0.27,Republic Day,Express,Delivered,2685.22,725.01,1960.21,1315.3,0.0,644.91,2025-12-17,2025-12-20,1,6
O500099,2023-12-15 05:38:00,C106064,P200600,S3059,1,0.0,None,Standard,Returned,6419.87,0.0,6419.87,3884.02,5603.4,1135.0,2023-12-21,2023-12-20,0,5
O500100,2024-05-10 09:43:00,C106705,P200488,S3015,3,0.3,None,Standard,Delivered,6506.76,1952.03,4554.73,2915.03,0.0,1639.7,2024-05-16,2024-05-15,0,5
O500101,2023-05-02 10:31:00,C101446,P200600,S3116,1,0.25,None,Standard,Delivered,6419.87,1604.97,4814.9,2913.01,0.0,1901.89,2023-05-08,2023-05-10,1,8
O500102,2023-01-03 20:40:00,C105179,P200600,S3098,1,0.02,Republic Day,Standard,Delivered,6419.87,128.4,6291.47,3806.34,0.0,2485.13,2023-01-09,2023-01-09,0,6
O500103,2024-07-24 19:04:00,C111073,P200364,S3051,1,0.1,None,Standard,Delivered,643.24,64.32,578.92,463.14,0.0,115.78,2024-07-30,2024-07-30,0,6
O500104,2024-09-12 11:24:00,C105135,P200536,S3046,4,0.05,None,Express,Delivered,223640.88,11182.04,212458.84,194612.3,0.0,17846.54,2024-09-15,2024-09-14,0,2
O500105,2023-01-19 19:25:00,C110044,P200446,S3015,1,0.15,None,Standard,Delivered,11420.37,1713.06,9707.31,6096.19,0.0,3611.12,2023-01-25,2023-01-26,1,7
O500106,2024-02-05 04:34:00,C108663,P200273,S3006,1,0.07,Republic Day,Express,Delivered,42468.83,2972.82,39496.01,31162.35,0.0,8333.66,2024-02-08,2024-02-09,1,4
O500107,2024-02-09 16:31:00,C108553,P200268,S3013,1,0.05,None,Standard,Delivered,5412.03,270.6,5141.43,2699.25,0.0,2442.18,2024-02-15,2024-02-15,0,6
O500108,2025-03-03 09:50:00,C101836,P200352,S3022,1,0.1,None,Express,Delivered,56698.99,5669.9,51029.09,46079.27,0.0,4949.82,2025-03-06,2025-03-06,0,3
O500109,2023-11-09 23:46:00,C110057,P200306,S3037,1,0.0,None,Standard,Delivered,4720.79,0.0,4720.79,3375.36,0.0,1345.43,2023-11-15,2023-11-14,0,5
O500110,2024-09-24 13:18:00,C103264,P200280,S3115,1,0.24000000000000002,Year End,Standard,Delivered,10107.88,2425.89,7681.99,6606.51,0.0,1075.48,2024-09-30,2024-09-29,0,5
O500111,2023-03-17 02:38:00,C111149,P200148,S3006,1,0.33,Big Billion Days,Standard,Delivered,35659.09,11767.5,23891.59,19758.34,0.0,4133.25,2023-03-23,2023-03-22,0,5
O500112,2025-11-16 12:09:00,C105080,P200600,S3106,2,0.025,Monsoon Mania,Standard,Delivered,12839.74,320.99,12518.75,7573.84,0.0,4944.91,2025-11-22,2025-11-22,0,6
O500113,2025-08-30 13:31:00,C109080,P200627,S3119,1,0.08,Big Billion Days,Express,Delivered,3280.92,262.47,3018.45,1551.48,0.0,1466.97,2025-09-02,2025-09-01,0,2
O500114,2025-09-22 19:14:00,C105647,P200600,S3059,3,0.07500000000000001,Monsoon Mania,Express,Delivered,19259.61,1444.47,17815.14,10778.16,0.0,7036.98,2025-09-25,2025-09-25,0,3
O500115,2025-02-18 05:23:00,C103432,P200600,S3047,1,0.04,Year End,Express,Delivered,6419.87,256.79,6163.08,3728.66,0.0,2434.42,2025-02-21,2025-02-20,0,2
O500116,2025-08-18 05:50:00,C106852,P200600,S3094,1,0.0,None,Standard,Delivered,6419.87,0.0,6419.87,3884.02,0.0,2535.85,2025-08-24,2025-08-25,1,7
O500117,2025-02-21 09:56:00,C110061,P200305,S3009,5,0.37,Diwali Fest,Express,Returned,10292.55,3808.24,6484.31,5420.88,6093.33,-459.9,2025-02-24,2025-02-23,0,2
O500118,2024-10-10 03:26:00,C106432,P200253,S3005,1,0.03,Summer Sale,Express,Delivered,2930.98,87.93,2843.05,1424.37,0.0,1418.68,2024-10-13,2024-10-13,0,3
O500119,2025-01-07 18:15:00,C102915,P200133,S3021,4,0.07,Diwali Fest,Express,Delivered,1024.48,71.71,952.77,532.6,0.0,420.17,2025-01-10,2025-01-09,0,2
O500120,2025-07-17 05:27:00,C108162,P200552,S3006,1,0.03,Summer Sale,Express,Returned,8526.1,255.78,8270.32,6756.85,7277.67,-305.95,2025-07-20,2025-07-19,0,2
O500121,2025-02-09 00:30:00,C110981,P200028,S3105,4,0.0,None,Express,Delivered,31360.4,0.0,31360.4,19537.53,0.0,11822.87,2025-02-12,2025-02-11,0,2
O500122,2025-11-26 03:41:00,C103338,P200021,S3048,2,0.33,Big Billion Days,Same Day,Delivered,11324.3,3737.02,7587.28,5417.32,0.0,2169.96,2025-11-27,2025-11-28,1,2
O500123,2023-11-27 22:04:00,C104558,P200197,S3029,2,0.13,Summer Sale,Standard,Delivered,1758.38,228.59,1529.79,976.01,0.0,553.78,2023-12-03,2023-12-04,1,7
O500124,2024-12-18 17:12:00,C108250,P200367,S3090,1,0.22,Republic Day,Express,Delivered,1536.85,338.11,1198.74,1005.74,0.0,193.0,2024-12-21,2024-12-21,0,3
O500125,2024-10-11 06:27:00,C107763,P200528,S3008,1,0.3,None,Standard,Returned,2352.05,705.62,1646.43,974.69,1471.2,303.94,2024-10-17,2024-10-18,1,7
O500126,2023-09-09 16:37:00,C103032,P200190,S3014,1,0.3,None,Standard,Delivered,4520.26,1356.08,3164.18,1809.91,0.0,1354.27,2023-09-15,2023-09-14,0,5
O500127,2025-12-20 18:26:00,C111303,P200600,S3113,1,0.1,None,Standard,Delivered,6419.87,641.99,5777.88,3495.62,0.0,2282.26,2025-12-26,2025-12-26,0,6
O500128,2023-05-08 06:07:00,C111389,P200600,S3034,1,0.3,None,Express,Delivered,6419.87,1925.96,4493.91,2718.82,0.0,1775.09,2023-05-11,2023-05-10,0,2
O500129,2025-06-09 20:08:00,C110195,P200020,S3053,2,0.15,None,Express,Delivered,2512.48,376.87,2135.61,1539.77,0.0,595.84,2025-06-12,2025-06-11,0,2
O500130,2024-03-11 00:32:00,C111962,P200496,S3071,1,0.275,Monsoon Mania,Standard,Delivered,39227.09,10787.45,28439.64,25282.84,0.0,3156.8,2024-03-17,2024-03-17,0,6
O500131,2024-04-01 10:56:00,C103376,P200170,S3005,1,0.2,None,Standard,Delivered,1048.13,209.63,838.5,545.02,0.0,293.48,2024-04-07,2024-04-08,1,7
O500132,2025-05-01 07:26:00,C101861,P200496,S3054,2,0.13,Big Billion Days,Standard,Delivered,78454.18,10199.04,68255.14,60678.82,0.0,7576.32,2025-05-07,2025-05-07,0,6
O500133,2023-12-12 23:19:00,C111379,P200364,S3030,1,0.15,None,Express,Delivered,643.24,96.49,546.75,437.4,0.0,109.35,2023-12-15,2023-12-14,0,2
O500134,2025-06-09 05:28:00,C102235,P200517,S3099,1,0.07,Diwali Fest,Standard,Delivered,2029.99,142.1,1887.89,1548.07,0.0,339.82,2025-06-15,2025-06-14,0,5
O500135,2023-10-23 21:15:00,C110714,P200600,S3063,1,0.12000000000000001,Diwali Fest,Express,Delivered,6419.87,770.38,5649.49,3417.94,0.0,2231.55,2023-10-26,2023-10-26,0,3
O500136,2023-06-30 04:08:00,C101466,P200600,S3096,1,0.22,Diwali Fest,Express,Delivered,6419.87,1412.37,5007.5,3029.54,0.0,1977.96,2023-07-03,2023-07-03,0,3
O500137,2024-11-19 13:49:00,C107021,P200041,S3063,1,0.07,Diwali Fest,Standard,Delivered,69383.55,4856.85,64526.7,57557.82,0.0,6968.88,2024-11-25,2024-11-24,0,5
O500138,2023-01-22 05:21:00,C101346,P200047,S3119,5,0.18,Summer Sale,Standard,Delivered,75217.45,13539.14,61678.31,37562.09,0.0,24116.22,2023-01-28,2023-01-28,0,6
O500139,2024-07-14 23:34:00,C104619,P200464,S3076,3,0.37,Diwali Fest,Standard,Delivered,38430.81,14219.4,24211.41,18691.21,0.0,5520.2,2024-07-20,2024-07-21,1,7
O500140,2023-01-20 08:12:00,C104309,P200600,S3010,1,0.33,Big Billion Days,Standard,Delivered,6419.87,2118.56,4301.31,2602.29,0.0,1699.02,2023-01-26,2023-01-25,0,5
O500141,2024-05-01 12:19:00,C100489,P200407,S3072,1,0.0,None,Standard,Delivered,4466.41,0.0,4466.41,3063.96,0.0,1402.45,2024-05-07,2024-05-06,0,5
O500142,2025-03-26 19:03:00,C107624,P200645,S3069,5,0.29,Year End,Express,Delivered,45398.5,13165.56,32232.94,24722.66,0.0,7510.28,2025-03-29,2025-03-29,0,3
O500143,2025-09-12 12:05:00,C110119,P200161,S3047,1,0.25,None,Same Day,Delivered,5335.22,1333.8,4001.42,2068.73,0.0,1932.69,2025-09-13,2025-09-14,1,2
